"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Kenley Jansen","ATL","16.7%","30.1%","","2.7","10","25","0","5","66","183","0","34","29","3096"
"David Price","LAD","0.0%","15.4%","","-0.1","0","8","0","1","170","0","0","78","49","3184"
"Liam Hendriks","CHW","0.0%","37.8%","","2.0","9","18","0","4","40","108","0","100","140","3548"
"Huascar Brazoban","MIA","0.0%","24.8%","","-0.3","4","25","0","0","131","37","0","91","64","6107"
"Jose Cisnero","DET","0.0%","31.4%","","0.5","8","24","0","0","110","58","0","135","140","6399"
"Steve Cishek","WSN","7.7%","33.3%","","1.3","7","20","0","0","45","","0","39","79","6483"
"Daniel Bard","COL","0.0%","40.3%","","2.9","8","19","0","2","36","293","0","63","103","7115"
"Collin McHugh","ATL","10.0%","30.5%","","1.4","4","14","0","0","58","","0","36","69","7531"
"Hunter Strickland","CIN","9.1%","32.0%","","1.2","7","19","0","0","53","257","0","63","93","7836"
"Lucas Luetge","NYY","9.1%","28.2%","","0.2","4","18","0","0","100","72","0","239","222","8337"
"Caleb Thielbar","MIN","10.0%","31.0%","","2.4","6","16","0","0","59","","0","60","105","10078"
"Brad Boxberger","MIL","5.9%","31.6%","","2.9","8","25","0","0","58","","0","45","81","10133"
"Ryan Tepera","LAA","0.0%","32.3%","","1.7","5","19","0","3","96","90","0","80","87","10291"
"Erasmo Ramirez","WSN","5.3%","24.7%","","0.6","3","23","0","0","90","110","0","52","54","10314"
"Mychal Givens","NYM","0.0%","22.2%","0.2","","0","4","1","0","115","","0","78","86","10430"
"Scott Alexander","SFG","0.0%","25.8%","0.8","0.2","1","20","3","0","76","","0","59","72","10591"
"Corey Dickerson","STL","0.0%","11.1%","","-0.1","0","6","0","0","189","0","0","235","137","10762"
"Tommy Kahnle","LAD","7.7%","30.3%","","1.6","3","16","0","1","71","","0","31","53","11384"
"Noah Syndergaard","PHI","0.0%","19.2%","1.4","","3","21","1","0","104","55","0","55","43","11762"
"Chris Martin","LAD","0.0%","30.9%","","3.6","8","14","0","0","-29","","0","43","114","11847"
"Jacob Barnes","NYY","0.0%","32.0%","","0.3","2","8","0","0","86","","0","96","140","12323"
"Matt Barnes","BOS","7.7%","32.5%","","0.2","3","19","0","3","125","36","0","96","80","12863"
"Orlando Arcia","ATL","0.0%","10.0%","","-0.1","0","4","0","0","262","0","0","78","0","13185"
"Ildemaro Vargas","WSN","0.0%","0.0%","","0.1","0","3","0","0","115","","0","0","0","13324"
"Taylor Rogers","MIL","0.0%","36.2%","","0.6","5","18","0","0","100","92","0","117","137","13449"
"Daniel Norris","DET","0.0%","33.8%","","1.9","7","17","0","0","35","","0","14","35","13475"
"Clay Holmes","NYY","0.0%","33.3%","","0.8","1","9","0","0","87","","0","27","44","13649"
"Josh Hader","SDP","0.0%","37.3%","","2.4","7","18","0","2","58","257","0","54","76","14212"
"Jose Leclerc","TEX","0.0%","31.3%","","0.9","5","14","0","1","121","60","0","133","116","14524"
"Jorge Lopez","MIN","0.0%","30.9%","","0.8","4","16","0","0","76","144","0","32","32","14527"
"Rowan Wick","CHC","14.3%","34.9%","","1.0","7","15","0","0","38","257","0","59","98","14646"
"Andres Machado","WSN","13.6%","26.3%","","-0.9","4","31","0","0","154","37","122","106","65","14681"
"Luis Perdomo","MIL","0.0%","55.6%","","1.7","4","10","0","0","41","","0","23","57","14682"
"Edwin Diaz","NYM","20.0%","54.9%","","2.2","8","13","0","1","7","","0","20","69","14710"
"Emilio Pagan","MIN","11.1%","27.4%","","1.1","7","17","0","0","60","253","0","32","39","14771"
"Scott Barlow","KCR","10.0%","34.5%","","1.4","6","19","0","1","101","72","0","64","35","14993"
"Kyle Finnegan","WSN","6.7%","27.1%","","0.9","4","20","0","0","90","147","0","78","91","15009"
"Yency Almonte","LAD","0.0%","40.0%","","0.9","3","13","0","0","87","","0","0","0","15068"
"Rob Zastryzny","LAA","0.0%","28.1%","","0.7","2","9","0","0","95","","0","0","0","15094"
"Adam Cimber","TOR","0.0%","25.5%","","1.5","5","29","0","0","80","","0","54","76","15288"
"Hunter Harvey","WSN","0.0%","34.1%","","1.4","7","22","0","0","82","128","0","65","79","15507"
"Tyler Rogers","SFG","5.3%","30.6%","","0.8","4","25","0","0","99","73","0","111","126","15541"
"Luis Torrens","SEA","0.0%","6.3%","","0.2","0","5","0","0","193","","0","80","70","15905"
"Jordan Romano","TOR","0.0%","30.6%","","2.0","9","20","0","2","63","325","0","48","78","16122"
"Aaron Bummer","CHW","0.0%","30.8%","","1.7","5","16","0","0","37","","0","74","127","16258"
"Foster Griffin","TOR","20.0%","29.6%","","0.2","2","8","0","0","85","72","0","80","70","16432"
"Bryan Abreu","HOU","0.0%","37.7%","","2.2","7","13","0","0","-6","253","0","96","209","16609"
"Jeff Brigham","MIA","0.0%","31.2%","","2.0","6","22","0","0","91","110","0","97","122","16631"
"Reed Garrett","WSN","0.0%","30.3%","","0.2","2","8","0","0","63","73","0","141","137","16866"
"Luis Ortiz","SFG","0.0%","31.6%","","0.3","3","10","0","0","47","110","0","101","114","16942"
"Tanner Banks","CHW","0.0%","38.9%","","0.5","2","4","0","0","14","","0","80","174","16990"
"Raisel Iglesias","ATL","5.3%","29.8%","","1.9","6","26","0","0","89","220","0","70","90","17130"
"Javy Guerra","TBR","0.0%","23.1%","","-0.9","1","20","0","0","177","9","0","75","23","17292"
"Albert Abreu","NYY","0.0%","22.2%","","0.0","0","2","0","0","79","","0","120","174","17485"
"Cristian Javier","HOU","4.8%","34.5%","5.4","","15","38","2","0","65","271","0","33","50","17606"
"Evan Phillips","LAD","0.0%","35.1%","","3.6","11","21","0","0","8","403","0","69","152","17734"
"Drew Smith","NYM","0.0%","29.6%","","1.5","6","18","0","0","62","220","0","84","125","17755"
"Jose Alvarado","PHI","0.0%","34.9%","","4.8","10","16","0","1","-12","","0","34","114","17780"
"Nestor Cortes","NYY","4.2%","30.9%","4.6","","17","45","2","0","65","154","0","36","29","17874"
"Dennis Santana","TEX","0.0%","26.4%","","-0.1","5","20","0","0","146","45","0","60","0","17878"
"Trent Thornton","TOR","0.0%","17.2%","","0.1","1","7","0","0","111","36","0","40","0","17948"
"Pete Fairbanks","TBR","0.0%","36.5%","","1.7","6","11","0","0","1","217","0","53","87","17998"
"Jaime Barria","LAA","0.0%","12.9%","","0.8","3","17","0","0","99","","0","109","134","18356"
"Scott Effross","NYY","9.1%","30.8%","","0.3","4","18","0","2","102","72","0","74","63","18384"
"Tyler Cyr","OAK","0.0%","28.9%","","1.0","7","19","0","0","59","126","0","86","116","18421"
"Junior Fernandez","PIT","0.0%","18.1%","","-0.5","2","14","0","0","170","18","0","117","43","18496"
"Sam Hentges","CLE","0.0%","26.1%","","1.1","6","19","0","0","70","108","0","103","127","18548"
"Jake Woodford","STL","0.0%","25.0%","","0.6","2","18","0","0","80","","0","63","86","18674"
"Michael Rucker","CHC","0.0%","25.6%","","1.5","7","19","0","0","97","86","0","63","38","19454"
"Andrew Vasquez","SFG","0.0%","31.4%","","0.6","4","7","0","0","35","147","0","39","0","19482"
"Stephen Nogosek","NYM","0.0%","28.3%","","0.9","6","11","0","0","-5","","0","88","206","19545"
"Jordan Hicks","STL","0.0%","20.0%","","0.1","0","5","0","0","78","","0","156","137","19618"
"Jonathan Loaisiga","NYY","0.0%","27.4%","","2.1","4","20","0","1","47","","0","75","109","19753"
"Bryan Baker","BAL","0.0%","29.5%","","2.7","9","24","0","1","83","163","0","21","0","19804"
"Kevin Ginkel","ARI","0.0%","29.3%","","2.9","8","23","0","1","51","293","0","62","98","19876"
"Alex Lange","DET","0.0%","27.5%","","1.3","3","26","0","0","107","54","0","84","83","19883"
"Dylan Lee","ATL","0.0%","28.1%","","2.1","9","22","0","0","72","165","0","23","0","19996"
"Calvin Faucher","TBR","0.0%","32.8%","","1.6","3","14","0","1","69","","0","40","63","20116"
"Zach Pop","TOR","6.3%","26.9%","","0.9","4","21","0","0","69","144","0","75","87","20185"
"David Peterson","NYM","0.0%","28.1%","","0.7","3","13","0","0","88","110","0","64","76","20302"
"Matt Manning","DET","","","","","0","0","0","0","","","","","","20369"
"Greg Weissert","NYY","0.0%","14.3%","","0.5","1","3","0","0","65","","0","0","0","20375"
"Kody Clemens","DET","0.0%","0.0%","","0.0","0","5","0","0","193","","0","160","140","20572"
"Yusei Kikuchi","TOR","0.0%","44.4%","","1.6","10","23","0","1","52","181","0","38","35","20633"
"Thomas Szapucki","SFG","0.0%","22.4%","","0.6","3","17","0","0","129","55","0","63","57","21065"
"Nick Vespi","BAL","0.0%","33.3%","","0.1","0","4","0","0","79","","0","239","174","21093"
"Peter Strzelecki","MIL","7.1%","32.2%","","1.4","5","21","0","1","106","92","0","55","49","21367"
"Cole Sands","MIN","0.0%","20.3%","","0.2","1","19","0","1","162","36","0","100","87","21461"
"Jake Cousins","MIL","0.0%","28.8%","","0.6","5","12","0","0","82","92","0","78","69","21620"
"Nick Maton","PHI","0.0%","33.3%","","0.0","0","1","0","0","188","","0","0","0","21635"
"Yerry Rodriguez","TEX","0.0%","16.7%","","0.3","1","4","0","0","65","","0","80","116","21955"
"Easton McGee","TBR","0.0%","21.7%","","0.4","1","14","0","0","138","","0","106","107","22176"
"DL Hall","BAL","0.0%","34.2%","","2.4","8","19","0","1","10","289","0","111","174","22207"
"Angel De Jesus","DET","0.0%","21.4%","","0.0","0","12","0","0","147","0","0","48","32","22323"
"Beau Sulser","BAL","0.0%","13.3%","","0.1","0","5","0","0","107","","0","120","140","23420"
"Ron Marinaccio","NYY","0.0%","27.1%","","0.6","5","17","0","0","110","60","0","100","78","23488"
"Ronny Henriquez","MIN","9.5%","23.1%","","1.5","7","30","0","0","96","253","0","52","66","24094"
"Alex Vesia","LAD","0.0%","30.4%","","2.9","7","13","0","0","14","","0","43","114","25007"
"Nick Mears","PIT","0.0%","22.6%","","0.3","2","8","0","0","102","73","0","78","69","25376"
"Nash Walters","LAA","0.0%","0.0%","","-0.3","0","3","0","0","310","0","0","479","174","25413"
"Hunter Brown","HOU","0.0%","29.7%","","1.0","8","24","0","0","59","96","0","120","134","25880"
"Alek Manoah","TOR","0.0%","27.3%","4.1","","12","47","2","0","90","108","0","61","68","26410"
"Robert Suarez","SDP","0.0%","31.2%","","2.5","12","27","0","0","50","147","0","70","93","30115"
"Joe Musgrove","SDP","7.7%","32.7%","4.1","","19","67","3","0","98","87","51","93","90","12970"
"Jose Quintana","STL","2.7%","26.8%","4.8","","13","53","3","0","85","159","0","69","93","11423"
"Zack Greinke","KCR","4.5%","22.8%","2.8","","3","49","2","0","134","54","0","80","87","1943"
"Marcus Stroman","CHC","2.9%","32.0%","4.0","","13","51","2","0","69","159","0","72","91","13431"
"Zack Wheeler","PHI","8.0%","26.6%","3.1","","12","38","2","0","48","440","74","57","86","10310"
"Ross Stripling","TOR","13.5%","26.8%","4.0","","6","43","2","0","99","","0","73","94","13273"
"Blake Snell","SDP","8.0%","26.6%","2.8","","12","41","2","0","98","110","74","57","43","13543"
"Nathan Eovaldi","BOS","7.1%","25.0%","3.1","","7","37","2","0","109","126","0","74","87","9132"
"Sean Hjelle","SFG","4.5%","33.1%","","0.8","10","35","0","0","64","122","91","78","82","21481"
"Corbin Burnes","MIL","0.0%","26.5%","6.6","","20","60","3","0","45","244","0","50","74","19361"
"Hunter Greene","CIN","6.3%","33.8%","5.2","","26","68","3","0","72","136","48","69","77","22182"
"Vince Velasquez","CHW","0.0%","34.8%","","1.3","13","32","0","0","76","117","0","77","93","11189"
"Julio Urias","LAD","8.3%","28.8%","2.4","","14","66","3","0","97","128","100","81","82","14765"
"Sandy Alcantara","MIA","0.0%","35.7%","5.5","","19","57","2","0","56","697","51","44","69","18684"
"Yohan Ramirez","PIT","0.0%","25.8%","","1.7","4","31","0","1","81","73","0","78","82","19444"
"Emmanuel Clase","CLE","10.5%","33.0%","","1.7","11","31","0","6","32","","104","50","78","21032"
"Jovani Moran","MIN","5.6%","39.8%","","1.7","9","27","0","0","38","","0","42","78","20422"
"A.J. Minter","ATL","6.3%","33.0%","","0.5","9","28","0","0","73","110","111","75","69","18655"
"Eduard Bazardo","BOS","5.9%","27.7%","","-0.4","6","27","0","0","115","72","114","65","44","20997"
"Dylan Floro","MIA","5.6%","30.6%","","2.1","9","31","0","5","88","82","0","107","114","13394"
"Matt Moore","TEX","5.6%","29.0%","","0.8","7","26","0","2","87","253","119","68","82","1890"
"Eric Lauer","MIL","0.0%","31.6%","4.8","","19","55","3","0","77","100","0","74","71","19316"
"Tyler Glasnow","TBR","21.4%","31.6%","1.2","","10","26","2","0","65","181","125","72","80","14374"
"Craig Kimbrel","LAD","9.1%","28.3%","","-1.4","8","26","0","0","119","49","122","94","34","6655"
"Andrew Wantz","LAA","0.0%","32.0%","","2.1","9","28","0","0","101","81","0","108","116","24933"
"Eli Morgan","CLE","5.9%","27.8%","","1.0","4","23","0","0","122","72","0","60","62","20203"
"Zack Thompson","STL","7.7%","28.1%","","0.1","7","22","0","0","70","128","129","37","0","25918"
"Bailey Ober","MIN","18.5%","30.1%","3.8","","14","43","2","0","73","253","68","39","40","21224"
"Justin Verlander","HOU","0.0%","28.0%","7.9","","22","67","3","0","73","397","0","62","100","8700"
"Wade Miley","CHC","10.0%","28.6%","1.3","0.3","3","24","1","0","121","110","0","52","51","8779"
"JT Chargois","TBR","0.0%","33.3%","0.4","0.8","5","22","1","0","100","181","0","67","93","13767"
"Lance McCullers Jr.","HOU","6.3%","25.5%","0.7","","5","22","1","0","74","181","139","93","116","14120"
"Brandon Woodruff","MIL","5.6%","33.0%","5.3","","28","68","3","0","50","257","91","65","91","16162"
"Shohei Ohtani","LAA","0.0%","26.4%","5.9","","23","67","3","0","70","104","0","62","60","19755"
"Jesus Luzardo","MIA","3.8%","34.2%","3.8","","18","47","2","0","44","220","68","72","96","19959"
"Luis Garcia","HOU","6.3%","30.8%","2.6","","10","43","2","0","80","361","70","53","68","23735"
"Caleb Smith","ARI","6.3%","22.6%","","-0.1","6","25","0","0","115","73","136","91","69","14875"
"Andrew Chafin","DET","0.0%","29.2%","","2.6","9","28","0","2","72","81","0","146","163","12988"
"Anthony Misiewicz","KCR","12.5%","29.9%","","1.2","4","22","0","0","127","72","0","53","44","18152"
"Clayton Kershaw","LAD","4.7%","34.3%","3.7","","20","67","3","0","68","183","96","78","92","2036"
"Cal Quantrill","CLE","5.9%","23.9%","3.7","","12","67","3","0","110","144","49","70","77","19312"
"Drey Jameson","ARI","12.9%","28.1%","1.8","","12","49","2","0","85","88","72","110","114","26260"
"Adam Ottavino","NYM","0.0%","36.0%","","1.6","8","20","0","0","47","293","0","55","93","1247"
"Zach Eflin","PHI","0.0%","33.3%","","2.1","6","20","0","1","65","","0","41","79","13774"
"Connor Brogdon","PHI","0.0%","28.2%","","0.5","4","25","0","0","128","73","0","97","95","21205"
"Diego Castillo","SEA","7.1%","29.2%","","0.2","5","19","0","1","87","","148","28","27","17496"
"Alex Young","SFG","5.9%","26.5%","","1.1","4","23","0","0","115","147","0","97","121","18333"
"Fernando Cruz","CIN","7.1%","26.6%","","0.0","9","27","0","0","78","82","144","138","132","7048"
"Luis Severino","NYY","8.7%","25.9%","3.6","","11","38","2","0","86","99","0","51","45","15890"
"Triston McKenzie","CLE","3.3%","33.5%","4.3","","10","41","2","0","84","361","0","58","81","18000"
"Nick Lodolo","CIN","11.1%","28.9%","1.4","","11","45","2","0","113","67","74","85","66","26378"
"Michael Lorenzen","LAA","0.0%","29.1%","5.7","","22","64","3","0","68","99","0","80","82","14843"
"Collin Wiles","OAK","7.1%","22.2%","","0.4","4","20","0","0","90","144","0","60","75","15106"
"Andres Munoz","SEA","7.7%","38.6%","","2.2","5","18","0","1","66","","0","45","80","20373"
"Lou Trivino","NYY","7.7%","28.4%","","1.9","5","19","0","1","73","181","0","60","80","15043"
"Logan Gillaspie","BAL","7.7%","30.1%","","-0.6","5","20","0","0","95","181","157","60","58","22461"
"Gregory Soto","DET","0.0%","22.1%","","0.5","4","24","0","4","134","36","0","120","87","19677"
"Adrian Sampson","CHC","8.9%","23.1%","1.8","","12","61","3","0","106","147","104","70","72","13339"
"Max Fried","ATL","0.0%","28.7%","3.9","","11","39","2","0","64","403","0","78","114","13743"
"Reynaldo Lopez","CHW","5.9%","22.1%","","1.7","3","20","0","0","116","","0","96","123","16400"
"Logan Webb","SFG","0.0%","32.1%","2.1","","7","20","1","0","39","257","0","94","143","17995"
"A.J. Puk","OAK","7.1%","34.1%","","0.4","6","24","0","0","117","72","0","128","125","19343"
"David Bednar","PIT","7.1%","29.0%","","1.3","6","22","0","2","71","110","0","125","147","19569"
"Alexis Diaz","CIN","0.0%","28.9%","","0.9","7","20","0","2","120","86","0","63","43","21132"
"Taylor Widener","ARI","0.0%","24.3%","","0.9","4","24","0","0","127","73","0","125","121","19266"
"Javier Assad","CHC","2.2%","23.6%","2.5","","9","61","3","0","134","55","57","104","91","21741"
"Aaron Nola","PHI","4.8%","38.3%","6.6","","25","71","3","0","54","305","44","59","84","16149"
"Chi Chi Gonzalez","NYY","14.3%","24.7%","0.9","","3","20","1","0","152","36","0","120","100","14663"
"Zach Plesac","CLE","0.0%","22.7%","0.6","0.3","1","22","1","0","149","36","0","137","122","19979"
"Cionel Perez","BAL","7.7%","30.3%","","1.7","6","20","0","0","45","217","0","103","134","19614"
"Trevor Stephan","CLE","0.0%","27.6%","","1.0","7","19","0","1","84","63","0","86","44","19932"
"Miles Mikolas","STL","16.0%","27.1%","1.6","0.3","9","35","1","0","78","330","91","69","86","9803"
"Drew Rasmussen","TBR","10.0%","25.5%","2.4","","8","50","2","0","105","144","63","60","63","25385"
"Pablo Lopez","MIA","3.1%","26.7%","4.0","","12","47","2","0","84","147","63","60","66","17085"
"Hayden Wesneski","CHC","2.0%","27.0%","2.8","","15","73","3","0","106","110","47","90","98","27581"
"David Phelps","TOR","0.0%","25.6%","-0.1","0.2","5","19","1","0","126","90","0","92","105","6316"
"Steven Matz","STL","0.0%","33.8%","","0.6","2","18","0","0","115","73","0","72","69","13361"
"Ty Blach","COL","0.0%","40.7%","","1.0","7","18","0","0","58","","0","72","137","14361"
"Ryan Helsley","STL","12.5%","32.9%","","-1.0","6","17","0","1","95","73","188","72","0","18138"
"Chris Stratton","STL","0.0%","25.6%","","0.9","6","20","0","0","95","73","0","144","156","13761"
"Ryne Stanek","HOU","7.1%","30.8%","","1.1","4","19","0","0","102","144","0","111","125","15947"
"Rich Hill","BOS","9.1%","29.7%","2.8","","19","67","3","0","95","172","148","85","94","4806"
"Johan Oviedo","PIT","7.4%","25.2%","3.9","","12","69","3","0","99","220","48","74","84","22487"
"Bryse Wilson","PIT","6.5%","26.6%","1.9","-0.1","12","65","2","0","116","73","50","81","76","19990"
"David Robertson","PHI","0.0%","29.9%","","-0.3","5","18","0","0","146","31","0","137","49","8241"
"Robert Stephenson","PIT","11.1%","42.1%","","-0.3","5","15","0","0","90","183","204","59","43","13594"
"German Marquez","COL","10.3%","26.6%","1.9","","14","47","2","0","91","128","136","72","63","15038"
"Nabil Crismatt","SDP","8.3%","29.5%","","-0.4","3","15","0","0","69","","204","59","62","17732"
"James Kaprielian","OAK","8.6%","25.9%","4.2","","12","49","2","0","75","217","0","86","110","18331"
"Enyel De Los Santos","CLE","0.0%","42.1%","","1.4","7","15","0","0","36","253","0","60","100","18403"
"Kolby Allard","TEX","14.3%","30.0%","","-0.2","6","15","0","0","69","108","209","80","58","18694"
"Tommy Nance","MIA","0.0%","22.6%","","0.7","4","18","0","0","130","73","0","98","93","19178"
"Cody Morris","CLE","9.5%","26.3%","1.4","0.7","8","32","1","0","89","96","0","90","100","25388"
"Brandon Hughes","CHC","9.1%","27.9%","","0.3","4","19","0","2","149","37","0","156","125","23460"
"Keegan Thompson","CHC","7.1%","30.1%","","0.2","11","30","0","1","75","81","106","71","26","19795"
"Austin Pruitt","OAK","8.7%","34.3%","","0.4","5","29","0","0","100","181","109","73","79","15290"
"Patrick Sandoval","LAA","8.3%","27.7%","3.5","","10","49","2","0","97","120","0","99","107","19447"
"Miguel Diaz","DET","0.0%","28.6%","","0.4","3","14","0","0","120","54","0","65","39","18815"
"Giovanny Gallegos","STL","0.0%","37.3%","","0.4","7","18","0","1","115","51","0","149","114","14986"
"Joely Rodriguez","NYM","0.0%","25.0%","","0.5","2","14","0","0","61","","0","64","86","11487"
"Luis Garcia","SDP","5.9%","29.2%","","1.4","7","27","0","0","108","128","0","56","60","6984"
"Jeffrey Springs","TBR","2.4%","31.8%","5.3","","14","57","3","0","74","253","0","74","94","17677"
"Andre Jackson","LAD","0.0%","24.2%","","1.3","6","29","0","1","88","110","0","89","98","21298"
"Bryce Elder","ATL","9.8%","26.0%","3.2","","11","54","2","0","79","202","58","78","94","27779"
"Matthew Boyd","SEA","0.0%","34.2%","","0.9","7","27","0","0","115","84","0","57","44","15440"
"Sean Manaea","SDP","8.1%","29.9%","1.2","0.7","11","53","2","0","106","101","60","74","76","15873"
"Ken Waldichuk","OAK","9.5%","28.1%","2.0","","16","64","3","0","98","193","98","66","78","27681"
"Zac Gallen","ARI","6.5%","29.3%","3.9","","25","75","3","0","64","229","122","66","80","19291"
"Dean Kremer","BAL","6.8%","22.3%","0.7","","12","78","3","0","122","62","125","92","81","19350"
"Joe Ryan","MIN","0.0%","28.1%","3.9","","13","43","2","0","96","117","0","104","121","21390"
"Jose Urena","COL","8.5%","23.5%","3.2","","16","68","3","0","77","117","98","99","107","11589"
"Jesus Tinoco","TEX","0.0%","29.4%","-0.4","0.1","6","27","2","0","141","72","125","84","65","16300"
"Garrett Hill","DET","0.0%","32.2%","","0.7","7","31","0","0","134","63","0","120","110","25097"
"Joe Kelly","CHW","0.0%","35.0%","","1.1","7","14","0","0","40","126","0","120","209","9761"
"Yunior Marte","SFG","0.0%","19.7%","","0.3","4","28","0","0","137","37","0","94","69","14416"
"Garrett Cleavinger","TBR","8.3%","34.7%","","0.7","11","26","0","0","51","132","125","72","63","17897"
"Jack Flaherty","STL","3.2%","28.6%","2.0","0.4","16","54","2","0","83","98","63","96","103","17479"
"Jameson Taillon","NYY","9.1%","32.2%","3.6","","19","78","3","0","87","229","86","87","105","11674"
"Joey Wentz","DET","10.7%","23.9%","0.1","","8","43","2","0","143","41","86","116","78","19962"
"Kris Bubic","KCR","9.1%","26.9%","2.7","","14","43","2","0","80","101","0","124","159","21455"
"Mitch Keller","PIT","9.1%","28.0%","2.2","","17","71","3","0","100","89","51","107","112","17594"
"Jose Suarez","LAA","5.6%","25.7%","3.4","","12","49","2","0","72","433","66","69","90","19911"
"Steven Wilson","SDP","0.0%","31.3%","0.6","1.2","8","27","1","0","97","98","0","86","91","20353"
"Carlos Hernandez","KCR","0.0%","26.6%","","0.9","7","29","0","0","131","51","0","139","123","22713"
"Louie Varland","MIN","6.4%","24.6%","1.8","","11","62","3","0","111","132","107","87","93","27691"
"Taijuan Walker","NYM","5.0%","34.1%","3.7","","18","40","2","0","15","330","87","101","162","11836"
"Eduardo Rodriguez","DET","4.9%","26.3%","0.1","","13","81","3","0","104","78","134","107","96","13164"
"Adbert Alzolay","CHC","13.0%","32.3%","","2.5","12","37","0","0","74","440","87","67","93","17859"
"Ryan Brasier","BOS","0.0%","29.5%","","0.4","6","22","0","0","84","217","139","53","50","5615"
"Jordan Lyles","BAL","7.7%","29.4%","0.2","","9","37","2","0","91","163","186","98","102","7593"
"Drew Smyly","CHC","9.1%","19.4%","1.0","","2","13","1","0","70","","0","104","125","11760"
"Nick Sandlin","CLE","0.0%","26.4%","","0.6","3","12","0","0","78","108","0","80","87","20517"
"Anthony Bass","TOR","7.7%","31.7%","","-2.5","7","25","0","0","115","51","279","120","63","7982"
"Domingo Acevedo","OAK","12.5%","29.8%","","-1.3","3","12","0","0","104","108","279","106","100","17092"
"Glenn Otto","TEX","13.7%","25.3%","0.1","","15","70","3","0","98","135","189","86","82","21366"
"Braxton Garrett","MIA","6.8%","28.3%","2.9","","15","65","3","0","90","110","56","123","135","21844"
"Jordan Weems","WSN","9.5%","22.9%","","1.4","10","32","0","0","89","367","94","63","86","13190"
"Aaron Civale","CLE","2.4%","31.5%","2.2","","21","63","3","0","55","759","197","56","66","19479"
"Mark Leiter Jr.","CHC","0.0%","37.2%","","2.8","9","24","0","1","58","165","0","83","114","15551"
"Jimmy Herget","LAA","0.0%","32.0%","","1.8","4","21","0","3","109","","0","56","82","17556"
"Duane Underwood Jr.","PIT","0.0%","34.4%","","2.9","10","24","0","0","24","","0","55","105","14677"
"Rafael Montero","HOU","7.1%","27.1%","","0.3","6","22","0","1","85","108","148","85","80","12760"
"Paul Sewald","SEA","21.4%","22.5%","","-1.7","5","20","0","1","107","181","295","56","29","13892"
"Austin Gomber","COL","6.3%","27.5%","-0.1","0.5","6","23","1","0","91","220","144","97","114","16561"
"Tyler Anderson","LAD","7.1%","29.3%","3.5","","13","41","2","0","57","","74","64","102","12880"
