"Name","Team","Barrel%","CSW%","Starting","Relieving","SO","TBF","GS","SV","xFIP-","K/BB+","HR/9+","WHIP+","BABIP+","playerid"
"Dylan Cease","CHW","6.5%","23.6%","-0.5","","10","49","2","0","136","52","152","116","84","18525"
"Martin Perez","TEX","7.1%","26.4%","2.1","","10","77","3","0","130","33","0","109","93","6902"
"Shane Bieber","CLE","4.9%","29.3%","3.5","","14","76","3","0","75","506","90","90","106","19427"
"Luke Weaver","KCR","5.9%","23.9%","","0.5","4","23","0","0","126","","0","90","123","16918"
"Erik Swanson","SEA","8.3%","28.4%","","3.3","7","20","0","0","61","253","0","90","145","16587"
"Camilo Doval","SFG","0.0%","23.3%","","0.8","5","24","0","4","81","61","0","117","107","21992"
"Miguel Yajure","PIT","0.0%","29.6%","","0.6","5","11","0","0","27","183","0","117","206","21111"
"Matt Bush","MIL","17.6%","26.1%","","-2.9","3","22","0","0","140","55","306","88","46","1246"
"Jason Adam","TBR","0.0%","33.9%","","-0.2","3","14","0","0","122","36","0","180","131","11861"
"Aaron Loup","LAA","5.9%","17.9%","","0.1","2","22","0","0","146","36","0","105","103","10343"
"Luis Cessa","CIN","5.8%","23.4%","2.4","","9","68","3","0","134","47","52","100","81","13345"
"Carlos Rodon","SFG","15.0%","32.4%","4.1","","17","40","2","0","57","208","79","68","90","16137"
"Kyle Wright","ATL","6.3%","28.3%","1.5","","9","44","2","0","82","110","79","91","88","19665"
"Lucas Giolito","CHW","0.0%","29.6%","3.2","","19","73","3","0","95","114","46","80","87","15474"
"Anibal Sanchez","WSN","3.7%","22.9%","3.0","","10","42","2","0","102","73","0","94","89","3284"
"Ryan Pressly","HOU","12.5%","31.7%","","-0.3","8","19","0","3","65","96","167","80","50","7005"
"Brent Suter","MIL","15.4%","30.6%","","-0.7","4","19","0","0","105","147","163","63","57","13942"
"Cole Ragans","TEX","5.9%","20.7%","2.7","","5","41","2","0","125","90","0","96","103","21846"
"Simeon Woods Richardson","MIN","13.3%","19.8%","-0.3","","3","20","1","0","124","54","167","80","50","24494"
"Jose Urquidy","HOU","15.0%","23.9%","0.8","-2.8","7","30","1","0","103","84","342","87","41","18413"
"Mason Thompson","WSN","4.3%","29.6%","","-0.4","4","30","0","0","107","49","111","107","93","21850"
"Lance Lynn","CHW","4.9%","26.4%","0.8","","8","52","2","0","108","144","139","106","107","2520"
"Yu Darvish","SDP","11.4%","27.2%","2.5","","14","51","2","0","91","257","136","98","114","13074"
"Josiah Gray","WSN","5.1%","27.7%","0.9","","5","49","2","0","137","61","68","85","81","24580"
"Chris Flexen","SEA","9.5%","19.4%","-0.6","1.1","5","27","1","0","91","181","119","68","70","13896"
"Drew Hutchison","DET","9.4%","23.3%","-2.7","","6","43","2","0","136","54","269","128","96","10732"
"Kevin Gausman","TOR","7.7%","34.7%","2.5","","11","38","2","0","63","397","90","94","126","14107"
"Max Scherzer","NYM","5.7%","30.2%","0.0","","11","47","2","0","79","403","210","94","107","3137"
"Casey Lawrence","TOR","25.0%","23.9%","","0.4","2","11","0","0","117","72","0","137","131","11121"
"Hoby Milner","MIL","6.7%","36.0%","","0.0","6","22","0","0","62","","175","117","147","13346"
"Kyle Muller","ATL","12.5%","27.9%","0.3","","4","21","1","0","91","147","175","117","114","20167"
"Cristofer Ogando","TBR","0.0%","37.5%","","0.3","1","9","0","0","122","","0","103","149","20667"
"Yimi Garcia","TOR","7.1%","22.7%","","0.9","4","21","0","0","117","72","0","137","149","12095"
"Griffin Jax","MIN","0.0%","31.0%","","1.3","5","20","0","0","81","181","0","86","100","20253"
"Andre Pallante","STL","6.3%","22.9%","","-1.3","2","20","0","0","128","37","175","117","91","26108"
"Manuel Rodriguez","CHC","7.7%","22.5%","","-3.1","2","19","0","2","144","18","175","117","57","20794"
"Kyle Bradish","BAL","7.3%","23.9%","2.2","","18","69","3","0","90","72","52","90","70","24586"
"Aaron Ashby","MIL","3.8%","23.2%","0.7","-0.4","8","38","1","0","84","147","91","104","123","23550"
"Bryan Garcia","DET","5.6%","34.8%","1.5","","6","27","1","0","101","108","0","84","97","19457"
"Edward Cabrera","MIA","5.6%","35.1%","1.8","","8","26","2","0","46","","122","70","101","21690"
"Jackson Stephens","ATL","0.0%","24.1%","-0.1","1.1","4","30","1","0","115","37","0","129","109","14420"
"Logan Gilbert","SEA","7.5%","21.5%","-0.3","","7","51","2","0","116","84","129","80","73","22250"
"Andrew Bellatti","PHI","15.4%","31.5%","","1.3","6","20","0","0","52","220","0","126","158","10657"
"Brad Keller","KCR","15.4%","26.6%","","0.9","6","21","0","1","61","108","0","166","188","15734"
"Shawn Armstrong","TBR","0.0%","33.8%","","0.9","6","19","0","0","69","108","0","92","95","12857"
"Zack Weiss","LAA","9.1%","31.1%","","0.9","6","17","0","0","60","","193","55","70","15444"
"Tanner Scott","MIA","0.0%","32.4%","","0.0","7","23","0","1","118","51","0","162","137","17586"
"Devin Williams","MIL","0.0%","34.1%","","1.6","10","21","0","2","75","73","0","144","206","15816"
"Erich Uelmen","CHC","7.7%","23.6%","","-0.7","2","20","0","1","175","18","0","126","79","20323"
"Tyler Alexander","DET","16.7%","24.5%","-0.3","","16","70","3","0","105","96","201","105","95","17735"
"Gerrit Cole","NYY","13.6%","34.2%","1.2","","21","68","3","0","65","253","182","74","87","13125"
"Mark Melancon","ARI","30.8%","24.1%","","-2.3","1","14","0","1","93","","408","39","0","4264"
"Bryan Shaw","CLE","0.0%","24.2%","","0.4","3","10","0","0","59","108","0","160","174","8110"
"Tyler Matzek","ATL","0.0%","18.6%","","-0.4","4","27","0","0","174","21","0","130","64","10058"
"Carl Edwards Jr.","WSN","14.3%","25.8%","","-1.5","4","19","0","0","130","147","408","137","114","13607"
"Carlos Estevez","COL","16.7%","13.0%","","-1.4","1","8","0","0","182","37","408","78","0","14542"
"Jose Ruiz","CHW","10.0%","23.5%","","-0.3","4","16","0","0","113","72","209","80","39","14552"
"Austin Voth","BAL","10.7%","27.5%","-0.3","","9","41","2","0","128","163","167","104","121","15047"
"Miguel Castro","NYY","14.3%","29.0%","","-0.2","1","10","0","0","168","18","0","160","100","15684"
"Jonathan Hernandez","TEX","11.1%","25.3%","","-2.6","4","24","0","0","95","72","279","93","65","17464"
"Ian Gibaut","CIN","10.0%","30.2%","","1.2","7","19","0","0","56","128","0","137","171","17871"
"Seranthony Dominguez","PHI","9.1%","20.0%","","0.0","4","19","0","0","139","37","0","176","156","19249"
"Tony Gonsolin","LAD","0.0%","30.0%","1.0","","3","9","1","0","23","","0","117","171","19388"
"Kirk McCarty","CLE","21.1%","25.3%","","-3.4","5","26","0","0","125","181","418","80","44","20555"
"Jhoan Duran","MIN","14.3%","25.6%","","0.4","2","9","0","0","65","","0","120","149","21029"
"Michael Plassmeyer","PHI","11.1%","31.1%","","0.3","6","25","0","0","60","220","136","130","161","23191"
"Michael Grove","LAD","6.3%","24.8%","-0.3","","6","41","2","0","129","73","163","94","80","23221"
"Brayan Bello","BOS","2.6%","25.3%","2.5","","8","50","2","0","99","72","0","160","147","23920"
"Reid Detmers","LAA","9.4%","33.5%","4.2","","11","44","2","0","83","397","0","104","131","27468"
"Jakob Junis","SFG","3.2%","28.3%","","2.0","11","45","0","0","79","134","0","117","133","13619"
"Adrian Morejon","SDP","11.1%","24.4%","","-1.2","3","24","0","0","151","37","136","91","60","20039"
"Kirby Snead","OAK","0.0%","32.8%","","0.9","4","18","0","1","94","144","0","100","107","19179"
"Tylor Megill","NYM","15.4%","25.7%","","0.4","3","18","0","0","142","55","0","137","132","21318"
"Joe Mantiply","ARI","10.0%","27.3%","","-3.2","1","12","0","0","127","37","408","195","114","14857"
"Taylor Clarke","KCR","0.0%","24.2%","","1.0","4","8","0","1","-5","","0","80","174","17611"
"Freddy Peralta","MIL","5.3%","26.3%","2.6","-1.1","10","31","2","0","67","183","106","92","114","18679"
"Ryan Feltner","COL","5.7%","22.2%","2.0","","12","71","3","0","119","73","96","97","87","21446"
"Luis Castillo","SEA","10.3%","29.3%","2.1","","13","46","2","0","80","117","74","92","100","15689"
"Trevor Richards","TOR","0.0%","34.4%","0.2","1.6","9","21","1","0","64","163","0","56","70","19309"
"James Karinchak","CLE","8.3%","29.8%","","2.2","9","24","0","0","85","108","0","99","116","20151"
"Ranger Suarez","PHI","11.3%","26.0%","-0.2","","11","69","3","0","106","81","163","125","110","17277"
"Zach Davies","ARI","10.0%","27.0%","-0.3","","6","43","2","0","145","31","87","126","83","13183"
"Zach Thompson","PIT","15.8%","35.4%","","0.8","8","30","0","0","100","147","0","75","90","16094"
"Tommy Henry","ARI","17.2%","27.5%","-2.3","","11","44","2","0","102","101","297","92","69","26285"
"Trevor May","NYM","12.5%","29.6%","","0.5","5","16","0","0","111","61","0","107","86","6398"
"Aroldis Chapman","NYY","0.0%","35.7%","","0.0","6","17","0","0","110","43","0","152","116","10233"
"Caleb Ferguson","LAD","7.1%","23.8%","","-1.9","5","25","0","0","192","37","223","277","184","19349"
"Brady Singer","KCR","14.7%","29.2%","1.4","","14","53","2","0","82","169","132","95","109","25377"
"Corey Kluber","TBR","6.7%","27.8%","1.7","","9","41","2","0","87","163","93","142","156","2429"
"Trevor Williams","NYM","3.7%","22.7%","","0.2","9","37","0","0","78","","181","96","123","16977"
"Jon Gray","TEX","6.0%","24.2%","-2.7","","9","64","3","0","126","81","261","85","62","14916"
"Chris Bassitt","NYM","11.4%","22.4%","-1.6","","4","44","2","0","139","37","153","95","73","12304"
"Bailey Falter","PHI","6.5%","32.4%","1.6","","12","45","3","0","64","220","153","125","154","20070"
"Keegan Akin","BAL","0.0%","27.7%","","0.8","6","24","0","0","78","108","0","120","140","19362"
"Richard Bleier","MIA","5.9%","29.3%","","2.3","4","21","0","1","76","","0","73","101","7803"
"Roansy Contreras","PIT","16.0%","23.1%","-0.8","","2","29","2","0","174","37","233","78","45","22810"
"Phil Maton","HOU","12.5%","35.5%","","-0.4","10","29","0","0","82","181","239","80","75","18064"
"Marco Gonzales","SEA","8.1%","25.5%","1.1","","11","76","3","0","117","132","148","117","112","15467"
"Johnny Cueto","CHW","12.7%","22.8%","4.5","","14","79","3","0","101","253","45","111","129","6893"
"Mike Clevinger","SDP","11.4%","26.7%","0.3","","5","41","2","0","119","183","163","94","93","12808"
"John Schreiber","BOS","15.4%","26.4%","","-1.4","7","25","0","0","129","51","167","192","174","20020"
"Zack Kelly","BOS","5.0%","29.1%","","-1.4","4","24","0","0","121","","334","128","116","20349"
"Brusdar Graterol","LAD","0.0%","25.7%","0.4","1.4","4","21","1","1","53","","0","109","141","20367"
"Shane McClanahan","TBR","11.4%","23.1%","-2.5","","4","42","2","0","131","48","251","112","87","21483"
"John King","TEX","0.0%","25.7%","","1.4","4","26","0","0","60","144","0","192","183","22051"
"Mike Baumann","BAL","8.7%","19.4%","0.4","","8","57","3","0","108","96","125","126","127","20206"
"Connor Overton","CIN","0.0%","22.7%","","0.1","4","35","0","0","143","37","98","94","66","18376"
"Andrew Heaney","LAD","6.7%","29.0%","-0.3","2.4","18","52","1","0","75","220","140","101","122","15423"
"Chase De Jong","PIT","15.4%","25.2%","","-2.4","4","33","0","0","159","49","245","164","128","15036"
"Matthew Festa","SEA","5.9%","26.1%","","-0.2","6","26","0","0","90","72","125","84","65","19330"
"Jimmy Lambert","CHW","16.7%","21.8%","","0.0","5","16","0","0","163","36","0","144","58","19541"
"Clarke Schmidt","NYY","21.1%","30.8%","","-2.2","5","27","0","0","132","60","251","96","62","19899"
"Trevor Gott","MIL","8.7%","24.0%","","-1.5","4","28","0","0","104","147","245","94","82","15046"
"Domingo German","NYY","10.3%","34.1%","-0.6","","17","61","3","0","84","123","228","98","90","17149"
"Robbie Ray","SEA","8.3%","17.6%","-2.4","","11","52","2","0","120","79","295","134","109","11486"
"JP Sears","OAK","3.4%","26.8%","0.9","0.9","8","41","1","0","111","72","0","116","120","23429"
"Merrill Kelly","ARI","13.2%","24.1%","-0.2","","15","73","3","0","97","110","185","97","91","11156"
"Jake Bird","COL","4.3%","31.8%","","1.6","8","34","0","0","84","98","0","98","104","21267"
"Framber Valdez","HOU","7.7%","27.8%","2.6","","18","75","3","0","66","130","107","138","140","17295"
"Will Smith","HOU","0.0%","29.3%","","1.8","6","20","0","0","21","","0","120","174","8048"
"Dylan Coleman","KCR","0.0%","29.1%","","1.5","7","22","0","0","51","253","0","120","161","22276"
"Daniel Lynch","KCR","10.5%","19.7%","-0.6","","6","48","2","0","121","72","157","120","107","21537"
"Alex Cobb","SFG","2.0%","28.9%","5.1","","15","67","3","0","63","183","0","125","147","6562"
"Hanser Alberto","LAD","9.1%","8.6%","","-0.4","0","11","0","0","188","","272","52","34","11902"
"Cristopher Sanchez","PHI","0.0%","23.4%","","0.1","1","14","0","1","135","37","0","130","114","20778"
"Jesse Chavez","ATL","5.6%","27.8%","","1.3","5","24","0","0","80","183","0","104","133","5448"
"Cole Irvin","OAK","11.5%","27.8%","0.2","","14","71","3","0","113","169","171","147","149","19244"
"JoJo Romero","STL","0.0%","31.2%","","0.4","6","19","0","0","78","55","0","126","114","19574"
"Tucker Davidson","LAA","14.3%","23.4%","-1.4","","3","22","1","0","150","22","193","147","54","19871"
"Reiver Sanmartin","CIN","7.7%","30.0%","","-0.9","3","19","0","0","138","37","188","108","57","19754"
"Amir Garrett","KCR","0.0%","32.4%","","0.8","6","19","0","0","105","108","0","92","105","14375"
"Jon Heasley","KCR","8.9%","20.4%","0.1","","8","71","3","0","150","58","107","112","97","22224"
"Manny Banuelos","PIT","6.7%","25.6%","","-0.4","8","28","0","0","106","73","144","138","122","5365"
"Shelby Miller","SFG","0.0%","36.2%","","3.5","14","30","0","0","43","171","0","101","158","10197"
"Chad Smith","COL","11.8%","27.6%","","-0.9","9","33","0","0","120","47","117","145","107","20190"
"Dylan Bundy","MIN","15.6%","21.6%","-0.9","","5","39","2","0","112","90","201","134","116","12917"
"Elieser Hernandez","MIA","7.7%","22.4%","1.6","","3","16","1","0","123","","0","78","105","16933"
"Jared Koenig","OAK","4.0%","22.7%","","1.0","6","32","0","0","83","","0","80","112","27517"
"Nick Nelson","PHI","6.3%","20.4%","","0.7","6","25","0","0","106","73","0","147","150","20153"
"Penn Murfee","SEA","9.5%","33.9%","","-0.2","10","33","0","0","91","181","209","100","110","25174"
"Gavin Hollowell","COL","0.0%","25.5%","","0.9","5","24","0","0","135","61","0","117","107","25427"
"Jharel Cotton","SFG","4.0%","26.4%","","1.5","8","37","0","0","107","73","0","147","151","13654"
"Cole Waites","SFG","25.0%","36.4%","","-0.7","1","5","0","0","96","","612","59","0","25665"
"Matt Brash","SEA","0.0%","31.6%","","0.6","6","24","0","0","129","54","0","120","100","25756"
"Yennier Cano","BAL","0.0%","23.2%","","0.4","4","13","0","0","88","72","0","150","149","25911"
"Brooks Raley","TBR","0.0%","23.8%","","-3.0","2","13","0","0","184","18","313","150","0","10061"
"Josh Winder","MIN","15.9%","24.1%","1.0","","12","60","3","0","125","217","129","117","125","24606"
"Cory Abbott","WSN","13.6%","26.9%","-1.8","","13","44","2","0","126","68","272","130","90","20277"
"Nick Pivetta","BOS","17.1%","22.1%","-2.7","","15","66","3","0","133","54","239","148","113","15454"
"Jake Odorizzi","ATL","12.2%","24.3%","1.0","","13","61","3","0","135","68","129","142","123","6397"
"Dillon Tate","BAL","5.9%","23.4%","","-3.0","2","26","0","1","172","12","132","101","22","17796"
"Pierce Johnson","SDP","0.0%","26.2%","","-0.3","7","30","0","0","105","64","129","148","133","13435"
"Jacob deGrom","NYM","16.7%","29.5%","-1.7","","16","44","2","0","65","147","327","117","120","10954"
"John Brebbia","SFG","5.0%","20.2%","1.1","-1.5","3","24","4","0","129","","163","125","126","12777"
"Jordan Montgomery","STL","9.1%","28.1%","-1.3","","8","43","2","0","94","147","245","102","91","16511"
"George Kirby","SEA","14.3%","21.2%","0.8","","10","59","3","0","121","52","68","162","145","25436"
"Sam Selman","OAK","7.7%","25.0%","","-0.9","2","17","0","0","186","72","228","109","87","13397"
"Andrew Nardi","MIA","27.3%","30.8%","","-2.7","6","21","0","0","158","55","445","213","152","25942"
"Michael Fulmer","MIN","6.7%","19.4%","","-1.4","1","18","0","0","169","36","228","152","125","13218"
"Jason Foley","DET","7.1%","23.9%","","0.7","3","18","0","0","99","108","0","174","174","19531"
"Craig Stammen","SDP","5.6%","33.6%","-1.1","0.3","7","30","1","0","107","51","136","156","121","7274"
"Buck Farmer","CIN","6.7%","28.6%","","1.2","7","26","0","0","88","64","0","117","114","14814"
"Jose Quijada","LAA","27.3%","30.9%","","-1.6","10","24","0","0","76","120","279","80","39","19200"
"Kyle Freeland","COL","12.9%","28.8%","1.6","","10","45","2","0","107","122","98","178","171","16256"
"Spenser Watkins","BAL","0.0%","21.7%","0.6","0.4","7","50","1","0","106","51","0","165","156","17489"
"Carlos Carrasco","NYM","0.0%","21.4%","-1.5","","5","35","2","0","127","92","233","145","123","6632"
"Adrian Martinez","OAK","9.3%","26.0%","2.0","","16","63","3","0","88","144","119","125","136","21023"
"Matt Strahm","BOS","13.3%","28.6%","","-3.6","4","23","0","0","125","72","358","137","107","13799"
"Mike Mayers","LAA","10.0%","20.0%","","-1.4","1","12","0","0","106","36","358","137","78","15451"
"Josh Fleming","TBR","17.6%","26.9%","-1.2","","4","21","1","0","59","","358","137","140","20418"
"Collin Snider","KCR","16.7%","25.0%","","-1.5","3","12","0","0","128","54","358","137","70","23307"
"Will Vest","DET","10.5%","25.5%","-1.7","-0.8","4","26","2","0","149","72","358","205","164","19769"
"Brock Burke","TEX","18.8%","26.0%","","-3.7","7","26","0","0","103","126","443","127","107","17968"
"Nick Martinez","SDP","6.7%","26.1%","","-0.7","7","27","0","0","102","51","144","152","122","12730"
"Jose Berrios","TOR","4.3%","28.8%","2.2","","13","65","3","0","120","78","63","150","140","14168"
"Adrian Houser","MIL","12.5%","29.7%","0.0","","3","15","1","0","177","27","0","141","86","12718"
"Silvino Bracho","ATL","22.2%","26.8%","","-1.1","4","14","0","0","96","147","490","94","49","15051"
"Sean Poppen","ARI","20.0%","27.5%","","-1.9","3","15","0","0","155","110","490","94","43","19583"
"Kendall Graveman","CHW","0.0%","25.4%","","0.3","3","18","0","0","113","108","0","144","145","15514"
"Tyson Miller","TEX","4.2%","24.0%","-0.8","0.7","8","37","1","0","110","72","109","156","152","19976"
"Kevin Herget","TBR","17.6%","29.9%","","0.9","3","20","0","0","104","","0","129","144","15369"
"Reyes Moronta","ARI","5.9%","26.8%","","-1.0","3","25","0","1","172","22","0","216","141","14966"
"Seth Lugo","NYM","20.0%","34.8%","","-1.4","6","23","0","0","98","220","306","88","79","12447"
"Mitch White","TOR","4.5%","22.8%","1.1","-0.3","7","56","2","0","127","51","72","151","130","19225"
"Davis Martin","CHW","13.3%","27.7%","0.7","","13","62","3","0","109","157","188","138","141","21448"
"Dusten Knight","TBR","16.7%","34.2%","","-0.6","2","9","0","0","123","72","418","120","70","16537"
"Dinelson Lamet","COL","14.3%","31.6%","","0.3","4","14","0","0","123","49","0","130","98","17186"
"Justus Sheffield","SEA","5.3%","19.2%","-1.2","","4","28","1","0","153","36","167","176","116","17285"
"Kaleb Ort","BOS","16.7%","29.3%","","-3.8","5","25","0","1","119","90","502","144","93","20061"
"Alejo Lopez","CIN","25.0%","28.6%","","-0.6","0","4","0","0","188","","816","78","0","21127"
"Matthew Liberatore","STL","0.0%","21.1%","0.0","","3","23","1","0","123","27","0","156","137","22294"
"Josh Winckowski","BOS","9.1%","21.4%","","0.3","3","15","0","0","91","108","0","186","190","22387"
"Frank German","BOS","0.0%","23.5%","","-0.6","3","15","0","0","104","54","279","160","116","24750"
"Charlie Morton","ATL","9.1%","30.9%","-3.0","","9","46","2","0","106","82","363","165","130","4676"
"Chad Kuhl","COL","11.8%","24.2%","0.9","","7","46","2","0","122","51","91","165","135","14975"
"Norge Ruiz","OAK","13.6%","20.8%","","-3.8","2","28","0","0","188","18","502","224","129","19580"
"Justin Topa","MIL","0.0%","11.5%","","0.2","0","8","0","0","97","","0","78","86","15145"
"Michael Wacha","BOS","25.0%","26.4%","-5.9","","12","62","3","0","121","87","439","150","123","14078"
"Jarlin Garcia","SFG","5.0%","23.7%","","0.3","6","27","0","0","110","220","144","138","144","18282"
"Bryan Hoeing","MIA","11.8%","21.1%","","-1.2","1","20","0","0","115","18","175","101","64","26304"
"Kyle Gibson","PHI","15.6%","34.4%","0.3","","16","52","2","0","57","147","223","135","142","10123"
"Joe Barlow","TEX","10.0%","26.2%","","-1.1","4","19","0","0","159","36","228","152","78","22296"
"Tim Mayza","TOR","8.3%","27.6%","","-1.1","4","18","0","1","96","72","228","152","127","15042"
"Taylor Hearn","TEX","4.3%","24.5%","","0.8","3","28","0","0","121","54","0","165","136","18325"
"JT Brubaker","PIT","10.0%","27.7%","0.6","","2","13","1","0","110","73","0","147","137","17578"
"Erick Fedde","WSN","8.9%","21.9%","-1.8","","8","68","3","0","118","73","251","174","138","17425"
"Jake Diekman","CHW","12.5%","28.2%","","-1.5","4","22","0","0","111","72","386","166","125","5003"
"Tim Hill","SDP","5.6%","21.4%","","-1.8","0","23","0","0","231","0","188","144","81","16814"
"Chase Anderson","CIN","5.9%","21.7%","0.8","-0.1","5","27","2","0","125","46","0","172","141","6895"
"Dauri Moreta","CIN","16.7%","18.4%","","-1.2","0","8","0","0","277","0","490","141","0","21101"
"Jose Cuas","KCR","0.0%","20.5%","","-0.6","0","10","0","0","263","0","0","239","100","17701"
"Dakota Hudson","STL","3.8%","23.2%","0.1","0.0","1","30","1","0","141","12","0","193","145","19206"
"Chris Devenski","PHI","12.5%","29.9%","","0.1","3","19","0","0","96","","204","137","137","12763"
"Joel Kuhnel","CIN","10.3%","20.0%","","0.0","3","33","0","0","130","110","129","173","147","19995"
"Wil Crowe","PIT","0.0%","25.9%","","0.2","3","11","0","0","126","37","0","168","137","19800"
"Adam Wainwright","STL","6.7%","23.1%","-0.9","","5","41","2","0","166","37","106","173","130","2233"
"Luis Ortiz","PIT","6.7%","32.2%","0.0","","7","27","2","0","117","51","153","132","73","27646"
"Graham Ashcraft","CIN","4.5%","21.6%","-0.9","","7","60","3","0","142","37","136","163","131","27552"
"Jake Fishman","MIA","0.0%","21.1%","","0.5","1","16","0","0","111","","0","182","160","20060"
"Justin Lawrence","COL","4.5%","18.0%","","1.3","4","28","0","1","102","73","0","152","140","17639"
"Patrick Corbin","WSN","4.8%","23.8%","0.4","","3","28","1","0","180","37","0","218","163","9323"
"Felix Bautista","BAL","0.0%","24.1%","","0.7","5","15","0","1","112","60","0","210","199","20666"
"Ian Kennedy","ARI","9.1%","26.7%","","-1.9","3","14","0","0","119","","918","176","128","6986"
"Hector Neris","HOU","0.0%","23.0%","","0.6","3","17","0","0","121","54","0","239","174","11804"
"Luis Frias","ARI","0.0%","20.7%","","-4.0","3","19","0","0","258","18","306","322","152","21997"
"Derek Law","CIN","21.4%","33.3%","","-2.3","6","23","0","0","102","110","350","151","143","13133"
"Zack Britton","NYY","0.0%","23.1%","","-2.1","1","9","0","0","697","6","0","838","174","3240"
"Elvin Rodriguez","DET","15.4%","19.1%","","-3.6","5","20","0","0","92","90","456","196","159","20962"
"Tommy Romero","WSN","29.4%","22.0%","-6.7","","2","23","1","0","232","18","1113","256","86","23465"
"Tyler Danish","BOS","13.3%","22.6%","","-1.8","4","22","0","0","123","48","418","220","161","15126"
"Colin Poche","TBR","15.4%","25.5%","","0.0","7","22","0","0","103","126","209","200","203","19403"
"Max Castillo","KCR","9.4%","23.1%","-1.2","0.0","9","51","2","0","160","41","186","204","151","21956"
"Aaron Sanchez","MIN","25.0%","15.2%","","-1.0","0","8","0","0","101","","502","144","100","11490"
"Alex Colome","COL","22.2%","23.8%","","-1.6","1","11","0","0","145","37","816","195","98","6661"
"Jimmy Yacabonis","TBR","0.0%","28.6%","","-0.4","2","8","0","0","245","24","0","399","233","15157"
"Ryan Yarbrough","TBR","20.0%","20.6%","","-2.9","1","7","0","0","219","36","1672","319","116","16502"
"Connor Seabold","BOS","22.2%","22.2%","-1.3","","2","13","1","0","219","36","418","279","174","19695"
"Noah Davis","COL","0.0%","43.8%","","-0.7","2","7","0","0","127","73","816","313","228","25862"
"Jake Reed","BAL","0.0%","20.6%","","-0.5","0","9","0","0","194","","0","319","174","16209"
"Paolo Espino","WSN","14.3%","24.0%","-5.1","","5","28","2","0","128","92","765","176","107","8246"
"Phil Bickford","LAD","50.0%","45.8%","","-2.6","2","8","0","0","86","","1224","176","86","18519"
"Trevor Megill","MIN","10.0%","23.4%","","-0.1","3","16","0","0","193","36","0","308","209","17722"
"Adam Oller","OAK","0.0%","22.2%","-0.1","","2","8","1","0","130","36","0","399","262","20132"
"Joey Krehbiel","BAL","0.0%","20.8%","","-0.7","1","14","0","0","232","12","0","431","209","13707"
