Rank,Name,Team,Position,PosRank
1,Ronald Acuña Jr.,ATL,OF,1
2,José Ramírez,CLE,3B,1
3,Aaron Judge,NYY,OF,2
4,Trea Turner,PHI,SS,1
5,Julio Rodríguez,SEA,OF,3
6,Kyle Tucker,HOU,OF,4
7,Bobby Witt Jr.,KC,SS,2
8,Yordan Alvarez,HOU,OF,5
9,Shohei Ohtani,LAA,SP,1
10,Mookie Betts,LAD,OF,6
11,Freddie Freeman,LAD,1B,1
12,Manny Machado,SD,3B,3
13,Austin Riley,ATL,3B,4
14,Pete Alonso,NYM,1B,2
15,Vladimir Guerrero Jr.,TOR,1B,3
16,Mike Trout,LAA,OF,7
17,Rafael Devers,BOS,3B,5
18,Juan Soto,SD,OF,8
19,Fernando Tatis Jr.,SD,SS,3
20,Corbin Burnes,MIL,SP,2
21,Gerrit Cole,NYY,SP,3
22,Shane McClanahan,TB,SP,4
23,Brandon Woodruff,MIL,SP,5
24,Jacob deGrom,TEX,SP,6
25,Sandy Alcantara,MIA,SP,7
26,Spencer Strider,ATL,SP,8
27,Aaron Nola,PHI,SP,9
28,Max Scherzer,NYM,SP,10
29,J.T. Realmuto,PHI,C,1
30,Edwin Díaz,NYM,RP,1
31,Emmanuel Clase,CLE,RP,2
32,Josh Hader,SD,RP,3
33,Paul Goldschmidt,STL,1B,4
34,Bo Bichette,TOR,SS,4
35,Kyle Schwarber,PHI,OF,10
36,Francisco Lindor,NYM,SS,5
37,Michael Harris II,ATL,OF,11
38,Nolan Arenado,STL,3B,6
39,Marcus Semien,TEX,2B,1
40,Jose Altuve,HOU,2B,2
41,Randy Arozarena,TB,OF,12
42,Corbin Carroll,ARI,OF,13
43,Daulton Varsho,TOR,C,2
44,Jordan Romano,TOR,RP,4
45,Félix Bautista,BAL,RP,5
46,Devin Williams,MIL,RP,6
47,Raisel Iglesias,ATL,RP,7
48,Ryan Pressly,HOU,RP,8
49,Ryan Helsley,STL,RP,9
50,Kenley Jansen,BOS,RP,10
51,Will Smith,LAD,C,3
52,Adley Rutschman,BAL,C,4
53,Salvador Perez,KC,C,5
54,Carlos Rodón,NYY,SP,11
55,Justin Verlander,NYM,SP,12
56,Dylan Cease,CWS,SP,13
57,Zack Wheeler,PHI,SP,14
58,Luis Castillo,SEA,SP,15
59,Kevin Gausman,TOR,SP,16
60,Framber Valdez,HOU,SP,17
61,Alek Manoah,TOR,SP,18
62,Cristian Javier,HOU,SP,19
63,Shane Bieber,CLE,SP,20
64,Max Fried,ATL,SP,21
65,Zac Gallen,ARI,SP,22
66,Yu Darvish,SD,SP,23
67,Triston McKenzie,CLE,SP,24
68,Robbie Ray,SEA,SP,25
69,Joe Musgrove,SD,SP,26
70,Tyler Glasnow,TB,SP,27
71,Matt Olson,ATL,1B,5
72,George Springer,TOR,OF,15
73,Corey Seager,TEX,SS,6
74,Teoscar Hernández,SEA,OF,16
75,Adolis García,TEX,OF,17
76,Jazz Chisholm Jr.,MIA,2B,3
77,Oneil Cruz,PIT,SS,7
78,Alex Bregman,HOU,3B,7
79,Bryan Reynolds,PIT,OF,18
80,Eloy Jiménez,CWS,OF,19
81,Luis Robert Jr.,CWS,OF,20
82,Andrés Giménez,CLE,2B,4
83,Ozzie Albies,ATL,2B,5
84,Tommy Edman,STL,2B,6
85,Cedric Mullins,BAL,OF,21
86,Starling Marte,NYM,OF,22
87,MJ Melendez,KC,C,6
88,Julio Urías,LAD,SP,28
89,Blake Snell,SD,SP,29
90,Luis Severino,NYY,SP,30
91,Hunter Greene,CIN,SP,31
92,Lance Lynn,CWS,SP,32
93,George Kirby,SEA,SP,33
94,Logan Gilbert,SEA,SP,34
95,Nick Lodolo,CIN,SP,35
96,Logan Webb,SF,SP,36
97,Joe Ryan,MIN,SP,37
98,Nestor Cortes,NYY,SP,38
99,Kyle Wright,ATL,SP,39
100,Willy Adames,MIL,SS,10
101,Dansby Swanson,CHC,SS,11
102,Jeremy Peña,HOU,SS,12
103,Carlos Correa,MIN,SS,13
104,Tim Anderson,CWS,SS,14
105,Wander Franco,TB,SS,15
106,Xander Bogaerts,SD,SS,16
107,Clay Holmes,NYY,RP,11
108,Daniel Bard,COL,RP,12
109,Alexis Díaz,CIN,RP,13
110,David Bednar,PIT,RP,14
111,Jhoan Duran,MIN,RP,15
112,Camilo Doval,SF,RP,16
113,Byron Buxton,MIN,OF,24
114,Tyler O'Neill,STL,OF,25
115,Christian Yelich,MIL,OF,26
116,Taylor Ward,LAA,OF,27
117,Ian Happ,CHC,OF,28
118,Nick Castellanos,PHI,OF,29
119,Steven Kwan,CLE,OF,30
120,Jake McCarthy,ARI,OF,31
121,Kris Bryant,COL,OF,32
122,Anthony Santander,BAL,OF,33
123,Giancarlo Stanton,NYY,OF,34
124,Hunter Renfroe,LAA,OF,35
125,Mitch Haniger,SF,OF,36
126,Lars Nootbaar,STL,OF,37
127,José Abreu,HOU,1B,6
128,Christian Walker,ARI,1B,7
129,Vinnie Pasquantino,KC,1B,8
130,Nathaniel Lowe,TEX,1B,9
131,Rhys Hoskins,PHI,1B,10
132,Andrew Vaughn,CWS,1B,11
133,C.J. Cron,COL,1B,12
134,Lucas Giolito,CWS,SP,40
135,Chris Sale,BOS,SP,41
136,Clayton Kershaw,LAD,SP,42
137,Charlie Morton,ATL,SP,43
138,Jon Gray,TEX,SP,44
139,Kodai Senga,NYM,SP,45
140,Jeffrey Springs,TB,SP,46
141,Tony Gonsolin,LAD,SP,47
142,Jordan Montgomery,STL,SP,48
143,Drew Rasmussen,TB,SP,49
144,Grayson Rodriguez,BAL,SP,50
145,Hunter Brown,HOU,SP,51
146,Andrew Painter,PHI,SP,52
147,Jesús Luzardo,MIA,SP,53
148,Dustin May,LAD,SP,54
149,Pablo López,MIN,SP,55
150,Freddy Peralta,MIL,SP,56
151,Andrew Heaney,TEX,SP,57
152,Lance McCullers Jr.,HOU,SP,58
153,Jonathan India,CIN,2B,7
154,Tyler Stephenson,CIN,C,7
155,Amed Rosario,CLE,SS,17
156,Nico Hoerner,CHC,SS,18
157,Javier Báez,DET,SS,19
158,Willson Contreras,STL,C,8
159,Alejandro Kirk,TOR,C,9
160,Keibert Ruiz,WSH,C,10
161,Gleyber Torres,NYY,2B,8
162,Thairo Estrada,SF,2B,9
163,Jorge Polanco,MIN,2B,10
164,Brandon Lowe,TB,2B,11
165,Vaughn Grissom,ATL,2B,12
166,Max Muncy,LAD,2B,13
167,Gunnar Henderson,BAL,3B,9
168,Ke'Bryan Hayes,PIT,3B,10
169,Anthony Rizzo,NYY,1B,13
170,Ty France,SEA,1B,14
171,Josh Bell,CLE,1B,15
172,Jake Cronenworth,SD,1B,16
173,Ryan Mountcastle,BAL,1B,17
174,Rowdy Tellez,MIL,1B,18
175,Seth Brown,OAK,1B,19
176,J.D. Martinez,LAD,DH,46
177,Pete Fairbanks,TB,RP,19
178,Scott Barlow,KC,RP,20
179,Andrés Muñoz,SEA,RP,21
180,Alex Lange,DET,RP,22
181,José Leclerc,TEX,RP,23
182,Paul Sewald,SEA,RP,24
183,Reid Detmers,LAA,SP,59
184,José Berríos,TOR,SP,60
185,Luis Garcia,HOU,SP,61
186,Brady Singer,KC,SP,62
187,Chris Bassitt,TOR,SP,63
188,Sonny Gray,MIN,SP,64
189,Patrick Sandoval,LAA,SP,65
190,Alex Cobb,SF,SP,66
191,Harrison Bader,NYY,OF,41
192,Seiya Suzuki,CHC,OF,42
193,Masataka Yoshida,BOS,OF,43
194,Ramón Laureano,OAK,OF,44
195,Andrew Benintendi,CWS,OF,45
196,Riley Greene,DET,OF,46
197,Oscar Gonzalez,CLE,OF,47
198,Alex Verdugo,BOS,OF,48
199,Cody Bellinger,CHC,OF,49
200,Esteury Ruiz,OAK,OF,50
201,Oscar Colas,CWS,OF,51
202,Jarred Kelenic,SEA,OF,52
203,Brandon Nimmo,NYM,OF,53
204,William Contreras,MIL,C,11
205,Sean Murphy,ATL,C,12
206,Cal Raleigh,SEA,C,13
207,Danny Jansen,TOR,C,14
208,Ketel Marte,ARI,2B,15
209,Jeff McNeil,NYM,2B,16
210,Jean Segura,MIA,2B,17
211,Alec Bohm,PHI,3B,11
212,Justin Turner,BOS,3B,12
213,Eugenio Suárez,SEA,3B,13
214,Matt Chapman,TOR,3B,14
215,Triston Casas,BOS,1B,20
216,Josh Naylor,CLE,1B,21
217,Yandy Díaz,TB,1B,22
218,Joey Meneses,WSH,1B,23
219,Jose Miranda,MIN,1B,24
220,Luis Arraez,MIA,1B,25
221,Jordan Walker,STL,3B,17
222,Bryce Harper,PHI,DH,56
223,Edward Cabrera,MIA,SP,67
224,Jack Flaherty,STL,SP,68
225,Aroldis Chapman,KC,RP,25
226,Kyle Finnegan,WSH,RP,26
227,Dylan Floro,MIA,RP,27
228,Brandon Hughes,CHC,RP,28
229,Jorge López,MIN,RP,29
230,Kendall Graveman,CWS,RP,30
231,Evan Phillips,LAD,RP,31
232,Carlos Estévez,LAA,RP,32
233,Miguel Vargas,LAD,1B,26
234,Ha-Seong Kim,SD,SS,21
235,Luis García,WSH,2B,19
236,Nick Gordon,MIN,2B,20
237,Ryan McMahon,COL,3B,19
238,Anthony Rendon,LAA,3B,20
239,Josh Jung,TEX,3B,21
240,Brandon Drury,LAA,1B,27
241,Whit Merrifield,TOR,2B,22
242,Chris Taylor,LAD,2B,23
243,Kolten Wong,SEA,2B,24
244,Bryson Stott,PHI,2B,25
245,Yoán Moncada,CWS,3B,23
246,Wil Myers,CIN,1B,28
247,Trey Mancini,CHC,1B,29
248,Luis Rengifo,LAA,2B,26
249,Jorge Mateo,BAL,SS,26
250,CJ Abrams,WSH,2B,27
251,Christopher Morel,CHC,2B,28
252,Jeimer Candelario,WSH,3B,26
253,Trevor Rogers,MIA,SP,69
254,Tyler Anderson,LAA,SP,70
255,Tyler Mahle,MIN,SP,71
256,Marcus Stroman,CHC,SP,72
257,Roansy Contreras,PIT,SP,73
258,Jameson Taillon,CHC,SP,74
259,Carlos Carrasco,NYM,SP,75
260,Nathan Eovaldi,TEX,SP,76
261,Justin Steele,CHC,SP,77
262,Kenta Maeda,MIN,SP,78
263,Aaron Civale,CLE,SP,79
264,Corey Kluber,BOS,SP,80
265,Ross Stripling,SF,SP,81
266,Sean Manaea,SF,SP,82
267,Taijuan Walker,PHI,SP,83
268,Merrill Kelly,ARI,SP,84
269,José Quintana,NYM,SP,85
270,Cal Quantrill,CLE,SP,86
271,José Urquidy,HOU,SP,87
272,Ranger Suárez,PHI,SP,88
273,Miles Mikolas,STL,SP,89
274,Adam Wainwright,STL,SP,90
275,Kyle Gibson,BAL,SP,91
276,Steven Matz,STL,SP,92
277,Austin Meadows,DET,OF,62
278,Bryan De La Cruz,MIA,OF,63
279,Michael Conforto,SF,OF,64
280,Adam Duvall,BOS,OF,65
281,Brandon Marsh,PHI,OF,66
282,Manuel Margot,TB,OF,67
283,Avisaíl García,MIA,OF,68
284,Matt Vierling,DET,OF,69
285,Jesse Winker,MIL,OF,70
286,TJ Friedl,CIN,OF,71
287,Lane Thomas,WSH,OF,72
288,Andrew McCutchen,PIT,OF,73
289,Joc Pederson,SF,OF,74
290,Charlie Blackmon,COL,OF,75
291,Austin Hays,BAL,OF,76
292,Lourdes Gurriel Jr.,ARI,OF,77
293,Mike Yastrzemski,SF,OF,78
294,Jake Fraley,CIN,OF,79
295,Jose Siri,TB,OF,80
296,Randal Grichuk,COL,OF,81
297,Josiah Gray,WSH,SP,93
298,Oswald Peraza,NYY,SS,29
299,Brett Baty,NYM,3B,27
300,Ezequiel Tovar,COL,SS,30
301,Noah Syndergaard,LAD,SP,94
302,Hayden Wesneski,CHC,SP,95
303,Brayan Bello,BOS,SP,96
304,Craig Kimbrel,PHI,RP,34
305,Adalberto Mondesi,BOS,SS,31
306,Kerry Carpenter,DET,OF,82
307,Spencer Steer,CIN,3B,28
308,Spencer Torkelson,DET,1B,30
309,Braxton Garrett,MIA,SP,97
310,Mike Soroka,ATL,SP,98
311,Kyle Stowers,BAL,OF,83
312,Brice Turang,MIL,SS,32
313,Garrett Mitchell,MIL,OF,84
314,Garrett Whitlock,BOS,SP,99
315,Elly De La Cruz,CIN,SS,33
316,Matt Mervis,CHC,1B,31
317,Cody Morris,CLE,SP,100
318,Michael Kopech,CWS,SP,101
319,A.J. Puk,MIA,RP,36
320,Aaron Ashby,MIL,SP,102
321,Travis d'Arnaud,ATL,C,15
322,Jonah Heim,TEX,C,16
323,Gabriel Moreno,ARI,C,17
324,Shea Langeliers,OAK,C,18
325,Christian Vázquez,MIN,C,19
326,Logan O'Hoppe,LAA,C,20
327,Bo Naylor,CLE,C,21
328,Christian Bethancourt,TB,C,22
329,Isaac Paredes,TB,1B,33
330,DJ LeMahieu,NYY,1B,34
331,Jared Walsh,LAA,1B,35
332,Carlos Santana,PIT,1B,36
333,Wilmer Flores,SF,1B,37
334,Brandon Belt,TOR,1B,38
335,Josh Rojas,ARI,2B,32
336,Kiké Hernández,BOS,2B,33
337,Luis Urías,MIL,2B,34
338,Kevin Newman,CIN,2B,35
339,Aledmys Díaz,OAK,2B,36
340,Jon Berti,MIA,2B,37
341,Elvis Andrus,CWS,SS,39
342,J.D. Davis,SF,3B,36
343,Eduardo Escobar,NYM,3B,37
344,Max Kepler,MIN,OF,88
345,Alex Kirilloff,MIN,OF,89
346,Mark Canha,NYM,OF,90
347,AJ Pollock,SEA,OF,91
348,Edward Olivares,KC,OF,92
349,Juan Yepez,STL,OF,93
350,Trent Grisham,SD,OF,94
351,Trayce Thompson,LAD,OF,95
352,Nolan Jones,COL,OF,96
353,David Peralta,LAD,OF,97
354,Dylan Carlson,STL,OF,98
355,Matthew Boyd,DET,SP,103
356,Domingo Germán,NYY,SP,104
357,Kyle Bradish,BAL,SP,105
358,José Suarez,LAA,SP,106
359,MacKenzie Gore,WSH,SP,107
360,Shintaro Fujinami,OAK,SP,108
361,Zach Eflin,TB,SP,109
362,Tanner Houck,BOS,SP,110
363,Mitch Keller,PIT,SP,111
364,Eduardo Rodriguez,DET,SP,112
365,Nick Pivetta,BOS,SP,113
366,Eric Lauer,MIL,SP,114
367,Martín Pérez,TEX,SP,115
368,Germán Márquez,COL,SP,116
369,JT Brubaker,PIT,SP,117
370,Ken Waldichuk,OAK,SP,118
371,Michael Wacha,SD,SP,119
372,Matt Moore,LAA,RP,39
373,Daniel Hudson,LAD,RP,40
374,Trevor May,OAK,RP,41
375,Rafael Montero,HOU,RP,42
376,Reynaldo López,CWS,RP,43
377,Giovanny Gallegos,STL,RP,44
378,Robert Suarez,SD,RP,45
379,Hunter Harvey,WSH,RP,46
380,Dany Jiménez,OAK,RP,47
381,Jason Adam,TB,RP,48
382,Taylor Rogers,SF,RP,49
383,Seranthony Domínguez,PHI,RP,50
384,Gregory Soto,PHI,RP,51
385,James Karinchak,CLE,RP,52
386,Matt Barnes,MIA,RP,53
387,Nelson Cruz,SD,DH,74
388,Joey Bart,SF,C,23
389,Nick Fortes,MIA,C,24
390,Yasmani Grandal,CWS,C,25
391,Omar Narváez,NYM,C,26
392,Eric Haase,DET,C,27
393,Elias Díaz,COL,C,28
394,Ji-Man Choi,PIT,1B,39
395,Garrett Cooper,MIA,1B,40
396,Luke Voit,undefined,1B,41
397,Joey Votto,CIN,1B,42
398,Brendan Rodgers,COL,2B,38
399,Brendan Donovan,STL,2B,39
400,Tony Kemp,OAK,2B,40
401,Joey Wendle,MIA,2B,41
402,Jonathan Schoop,DET,2B,42
403,Christian Arroyo,BOS,2B,43
404,Nolan Gorman,STL,2B,44
405,Trevor Story,BOS,2B,45
406,Brandon Crawford,SF,SS,42
407,J.P. Crawford,SEA,SS,43
408,Josh Smith,TEX,3B,40
409,Jace Peterson,OAK,3B,41
410,Hunter Dozier,KC,3B,42
411,Tyrone Taylor,MIL,OF,104
412,Chas McCormick,HOU,OF,105
413,Leody Taveras,TEX,OF,106
414,Michael Brantley,HOU,OF,107
415,Jack Suwinski,PIT,OF,108
416,Joey Gallo,MIN,OF,109
417,Jesús Sánchez,MIA,OF,110
418,Jorge Soler,MIA,OF,111
419,JJ Bleday,OAK,OF,112
420,Marcell Ozuna,ATL,OF,113
421,Drew Waters,KC,OF,114
422,Darick Hall,PHI,DH,86
423,Kyle Lewis,ARI,DH,87
424,Ryne Nelson,ARI,SP,120
425,James Kaprielian,OAK,SP,121
426,Austin Voth,BAL,SP,122
427,Graham Ashcraft,CIN,SP,123
428,James Paxton,BOS,SP,124
429,Bailey Falter,PHI,SP,125
430,Matt Manning,DET,SP,126
431,Cole Irvin,BAL,SP,127
432,Alex Wood,SF,SP,128
433,Michael Lorenzen,DET,SP,129
434,Drew Smyly,CHC,SP,130
435,Marco Gonzales,SEA,SP,131
436,Clarke Schmidt,NYY,SP,132
437,Kutter Crawford,BOS,SP,133
438,Brandon Pfaadt,ARI,SP,134
439,JP Sears,OAK,SP,135
440,Bailey Ober,MIN,SP,136
441,Kyle Muller,OAK,SP,137
442,Spencer Turnbull,DET,SP,138
443,Seth Lugo,SD,SP,139
444,Paul Blackburn,OAK,SP,140
445,Nick Martinez,SD,SP,141
446,Francisco Álvarez,NYM,C,29
447,Reese McGuire,BOS,C,30
448,Carson Kelly,ARI,C,31
449,Mike Zunino,CLE,C,32
450,Endy Rodriguez,PIT,C,33
451,Mitch Garver,TEX,C,34
452,Jorge Alfaro,undefined,C,35
453,Connor Joe,PIT,1B,43
454,Harold Ramírez,TB,1B,44
455,Jonathan Aranda,TB,1B,45
456,Michael Massey,KC,2B,47
457,Michael Busch,LAD,2B,48
458,Dylan Moore,SEA,2B,49
459,Nick Madrigal,CHC,2B,50
460,Brian Anderson,MIL,3B,43
461,Gio Urshela,LAA,3B,44
462,Will Brennan,CLE,OF,119
463,Stone Garrett,WSH,OF,120
464,James Outman,LAD,OF,121
465,Oswaldo Cabrera,NYY,OF,122
466,Aaron Hicks,NYY,OF,123
467,Tommy Pham,NYM,OF,124
468,Myles Straw,CLE,OF,125
469,Matt Carpenter,SD,DH,93
470,Ian Anderson,ATL,SP,142
471,Kyle Hendricks,CHC,SP,143
472,Rich Hill,PIT,SP,144
473,Chris Flexen,SEA,SP,145
474,Johnny Cueto,MIA,SP,146
475,Jordan Lyles,KC,SP,147
476,Chase Silseth,LAA,SP,148
477,Vince Velasquez,PIT,SP,149
478,Brad Keller,KC,SP,150
479,Drew Rucinski,OAK,SP,151
480,Wade Miley,MIL,SP,152
481,Zack Greinke,KC,SP,153
482,Keegan Thompson,CHC,SP,154
483,Kyle Freeland,COL,SP,155
484,Daniel Vogelbach,NYM,DH,94
485,Gary Sánchez,undefined,C,36
486,Luis Campusano,SD,C,37
487,Brian Serven,COL,C,38
488,Jose Trevino,NYY,C,39
489,Austin Nola,SD,C,40
490,Yan Gomes,CHC,C,41
491,Ryan Jeffers,MIN,C,42
492,Max Stassi,LAA,C,43
493,Jesús Aguilar,OAK,1B,46
494,LaMonte Wade Jr.,SF,1B,47
495,David Villar,SF,1B,48
496,Nick Pratto,KC,1B,49
497,Adam Frazier,BAL,2B,51
498,Rodolfo Castro,PIT,2B,52
499,Nicky Lopez,KC,2B,53
500,Ramón Urías,BAL,2B,54
501,Santiago Espinal,TOR,2B,55
502,Maikel Garcia,KC,SS,48
503,Jose Barrero,CIN,SS,49
504,Nick Allen,OAK,SS,50
505,Noelvi Marte,CIN,SS,51
506,Josh Donaldson,NYY,3B,50
507,Evan Longoria,ARI,3B,51
508,Jake Alu,WSH,3B,52
509,Ezequiel Duran,TEX,3B,53
510,Dominic Smith,WSH,1B,50
511,Elehuris Montero,COL,3B,54
512,Yuli Gurriel,HOU,1B,51
513,Corey Julks,HOU,OF,128
514,Conner Capel,OAK,OF,129
515,Alek Thomas,ARI,OF,130
516,Akil Baddoo,DET,OF,131
517,Gavin Sheets,CWS,OF,132
518,Jarren Duran,BOS,OF,133
519,Kevin Kiermaier,TOR,OF,134
520,Bubba Thompson,TEX,OF,135
521,Victor Robles,WSH,OF,136
522,Chad Pinder,CIN,OF,137
523,Cristian Pache,OAK,OF,138
524,Jurickson Profar,undefined,OF,139
525,Michael King,NYY,RP,63
526,Kevin Ginkel,ARI,RP,64
527,Lucas Sims,CIN,RP,65
528,Jimmy Herget,LAA,RP,66
529,Bryan Abreu,HOU,RP,67
530,Matt Bush,MIL,SP,156
531,Michael Fulmer,CHC,RP,69
532,David Robertson,NYM,RP,70
533,John Schreiber,BOS,RP,71
534,Adbert Alzolay,CHC,SP,157
535,Jonathan Loáisiga,NYY,RP,73
536,José Alvarado,PHI,RP,74
537,A.J. Minter,ATL,RP,75
538,Tommy Kahnle,NYY,RP,76
539,Dylan Coleman,KC,RP,77
540,Chris Martin,BOS,RP,78
541,Erik Swanson,TOR,RP,79
542,Brusdar Graterol,LAD,RP,80
543,Domingo Acevedo,OAK,RP,81
544,Joe Barlow,TEX,RP,82
545,Adam Ottavino,NYM,RP,83
546,Ryan Tepera,LAA,RP,84
547,Aaron Bummer,CWS,RP,85
548,Tanner Scott,MIA,RP,86
549,Trevor Stephan,CLE,RP,87
550,Alex Vesia,LAD,RP,88
551,Ryan Pepiot,LAD,SP,158
552,Joe Mantiply,ARI,RP,89
553,Pierce Johnson,COL,RP,90
554,Mark Melancon,ARI,RP,91
555,Diego Castillo,SEA,RP,92
556,Joe Jiménez,ATL,RP,93
557,Jonathan Hernández,TEX,RP,94
558,Rowan Wick,CHC,RP,95
559,Andrew Chafin,ARI,RP,96
560,Ron Marinaccio,NYY,RP,97
561,Alex Reyes,LAD,RP,98
562,Lou Trivino,NYY,RP,99
563,Tejay Antone,CIN,RP,100
564,Drey Jameson,ARI,SP,159
565,Gavin Williams,CLE,SP,160
566,David Peterson,NYM,SP,161
567,Trevor Bauer,LAD,SP,162
568,Frankie Montas,NYY,SP,163
569,Taj Bradley,TB,SP,164
570,Matt Brash,SEA,SP,165
571,Ricky Tiedemann,TOR,SP,166
572,Bobby Miller,LAD,SP,167
573,Cade Cavalli,WSH,SP,168
574,Josh Winder,MIN,SP,169
575,DL Hall,BAL,SP,170
576,Tylor Megill,NYM,SP,171
577,Tyler Wells,BAL,SP,172
578,Luis Ortiz,PIT,SP,173
579,Kris Bubic,KC,SP,174
580,Daniel Lynch,KC,SP,175
581,Zach Plesac,CLE,SP,176
582,Jake Odorizzi,TEX,SP,177
583,Bryce Elder,ATL,SP,178
584,Tarik Skubal,DET,SP,179
585,Caleb Kilian,CHC,SP,180
586,Simeon Woods Richardson,MIN,SP,181
587,Joey Wentz,DET,SP,182
588,Sixto Sánchez,MIA,SP,183
589,Mitch White,TOR,SP,184
590,Dean Kremer,BAL,SP,185
591,Jakob Junis,SF,SP,186
592,John Means,BAL,SP,187
593,Johan Oviedo,PIT,SP,188
594,Matthew Liberatore,STL,SP,189
595,Dane Dunning,TEX,SP,190
596,Ryan Yarbrough,KC,SP,191
597,Glenn Otto,TEX,SP,192
598,Anthony DeSclafani,SF,SP,193
599,Yusei Kikuchi,TOR,SP,194
600,Luis Patiño,TB,SP,195
601,Francisco Mejía,TB,C,44
602,Tucker Barnhart,CHC,C,45
603,P.J. Higgins,CHC,C,46
604,Jacob Stallings,MIA,C,47
605,James McCann,BAL,C,48
606,Tomás Nido,NYM,C,49
607,Austin Barnes,LAD,C,50
608,Pavin Smith,ARI,1B,53
609,Kyle Manzardo,TB,1B,54
610,Eric Hosmer,CHC,1B,55
611,Patrick Wisdom,CHC,1B,56
612,Keston Hiura,MIL,1B,57
613,Owen Miller,MIL,1B,58
614,Michael Toglia,COL,1B,59
615,Bobby Dalbec,BOS,1B,60
616,Cavan Biggio,TOR,2B,58
617,Darin Ruf,NYM,1B,61
618,Vidal Bruján,TB,2B,59
619,Rougned Odor,undefined,2B,60
620,Taylor Walls,TB,2B,61
621,Nick Ahmed,ARI,SS,53
622,Kyle Farmer,MIN,SS,54
623,Isiah Kiner-Falefa,NYY,SS,55
624,Royce Lewis,MIN,SS,56
625,Andrew Velazquez,LAA,SS,57
626,Geraldo Perdomo,ARI,SS,58
627,Miguel Rojas,LAD,SS,59
628,Jake Burger,CWS,3B,59
629,Emmanuel Rivera,ARI,3B,60
630,Jordan Groshans,MIA,3B,61
631,Jake Meyers,HOU,OF,144
632,Josh Lowe,TB,OF,145
633,Jo Adell,LAA,OF,146
634,Eddie Rosario,ATL,OF,147
635,Trevor Larnach,MIN,OF,148
636,Nick Senzel,CIN,OF,149
637,Stuart Fairchild,CIN,OF,150
638,Will Benson,CIN,OF,151
639,Luis González,SF,OF,152
640,Kyle Isbel,KC,OF,153
641,Yonathan Daza,COL,OF,154
642,Rafael Ortega,undefined,OF,155
643,Nick Solak,CIN,OF,156
644,Cal Mitchell,PIT,OF,157
645,Franmil Reyes,undefined,OF,158
646,Alex Call,WSH,OF,159
647,Michael A. Taylor,MIN,OF,160
648,Nelson Velázquez,CHC,OF,161
649,Austin Slater,SF,OF,162
650,Edwin Ríos,CHC,DH,112
651,Gavin Lux,LAD,2B,62