"Name","Team","PA","HR","SB","Off","wRC+","wOBA","ISO+","Barrel%","BsR","Spd","BB%+","K%+","Oppo%+","EV","maxEV","xwOBA","playerid"
"MJ Melendez","KCR","534","18","2","-1.1","99",".310","118","10.4%","-0.3","3.1","155","110","91","90.7","110.8",".332","22197"
"Elvis Andrus","- - -","577","17","18","9.3","105",".310","104","4.5%","6.0","4.5","85","72","97","87.9","109.9",".293","8709"
"Alec Bohm","PHI","631","13","2","-2.2","98",".310","76","6.8%","-0.5","3.4","59","77","121","90.2","110.8",".333","21618"
"Joey Votto","CIN","376","11","0","-7.5","92",".310","106","11.1%","-4.1","1.5","140","114","98","89.7","111.9",".322","4314"
"Jeremy Pena","HOU","558","22","11","4.9","102",".309","116","9.6%","3.7","5.3","50","109","92","88.1","110.5",".300","21636"
"Andrew McCutchen","MIL","580","17","8","-5.3","98",".309","95","8.6%","-4.1","3.0","118","95","76","89.1","110.6",".325","9847"
"Kyle Farmer","CIN","583","14","4","-10.3","92",".309","85","4.4%","-4.6","3.0","68","75","100","85.5","106.6",".311","14813"
"Mitch Garver","TEX","215","10","1","0.5","101",".308","132","8.8%","0.4","2.0","134","111","80","88.9","111.4",".319","15161"
"Manuel Margot","TBR","363","4","7","4.6","106",".308","68","3.7%","2.3","4.4","83","84","108","89.5","110.4",".299","14712"
"Carlos Santana","- - -","506","19","0","2.0","102",".308","117","9.3%","1.0","1.0","176","78","74","90.7","111.3",".352","2396"
"Nick Fortes","MIA","240","9","5","0.0","100",".308","104","7.0%","0.0","5.8","90","83","97","89.3","108.4",".319","21538"
"Gavin Sheets","CHW","410","15","0","-2.7","100",".308","114","6.5%","-2.6","0.7","83","94","100","88.6","109.7",".283","19901"
"Lane Thomas","WSN","548","17","8","-3.0","96",".308","105","6.5%","-0.6","4.1","90","107","90","86.4","110.1",".286","16939"
"Ben Gamel","PIT","423","9","5","0.0","97",".308","89","6.2%","1.4","4.1","136","102","95","88.8","109.2",".316","12160"
"Tyler O'Neill","STL","383","14","14","1.9","101",".307","106","11.3%","1.4","5.9","119","119","89","89.8","110.3",".331","15711"
"Mike Yastrzemski","SFG","558","17","5","1.8","99",".307","114","11.1%","2.6","4.7","131","112","94","89.9","109.7",".314","14854"
"P.J. Higgins","CHC","229","6","0","-2.0","97",".306","100","3.4%","-1.2","2.2","115","112","122","86.0","104.3",".264","18433"
"Dylan Carlson","STL","488","8","5","4.0","100",".306","93","4.4%","3.8","4.9","110","85","106","86.1","109.2",".301","20126"
"Emmanuel Rivera","- - -","359","12","1","-2.7","95",".306","116","9.3%","-0.9","4.0","78","103","104","90.4","110.9",".310","19890"
"Brandon Lowe","TBR","266","8","1","3.3","104",".306","108","10.3%","2.0","4.2","128","103","101","89.4","112.2",".320","18882"
"Jace Peterson","MIL","328","8","12","3.7","96",".306","94","7.2%","5.2","6.6","120","115","90","88.6","108.8",".303","12325"
"J.P. Crawford","SEA","603","6","3","1.5","104",".306","62","2.0%","-1.0","3.2","142","60","111","85.1","109.3",".315","15491"
"Jonah Heim","TEX","450","16","2","-2.4","99",".306","115","6.9%","-1.8","3.2","114","87","64","89.3","112.4",".291","16930"
"Santiago Espinal","TOR","491","7","6","-1.9","99",".305","69","3.4%","-1.5","2.7","92","62","95","86.1","107.5",".298","19997"
"Josh Harrison","CHW","425","7","2","-2.7","98",".305","76","3.8%","-1.6","4.0","62","75","100","87.4","106.0",".284","8202"
"Jorge Soler","MIA","306","13","0","-1.4","98",".305","124","12.1%","-0.8","1.6","121","130","65","91.2","117.6",".322","14221"
"Rafael Ortega","CHC","371","7","12","-5.2","96",".305","76","4.8%","-3.5","4.2","142","88","99","87.2","108.4",".307","10323"
"Ozzie Albies","ATL","269","8","3","-0.7","93",".305","104","5.4%","1.5","3.3","71","77","72","87.1","106.6",".297","16556"
"Franchy Cordero","BOS","275","8","4","0.2","92",".304","119","12.3%","2.6","5.1","128","151","105","89.7","117.9",".313","14567"
"Nick Castellanos","PHI","558","13","7","-6.8","94",".304","81","6.6%","-2.8","3.4","62","103","127","87.5","110.1",".302","11737"
"Tommy Pham","- - -","622","17","8","-5.6","89",".304","90","7.9%","1.9","4.5","109","120","101","92.2","112.6",".311","2967"
"Tyler Naquin","- - -","334","11","4","-0.5","93",".303","125","9.6%","2.3","6.5","68","123","104","90.3","112.7",".317","13359"
"Brandon Belt","SFG","298","8","1","-2.3","96",".303","89","12.6%","-1.0","2.9","149","120","117","88.4","108.3",".326","10264"
"Luis Garcia","WSN","377","7","3","-5.6","93",".303","86","7.5%","-2.5","2.9","35","99","98","87.3","113.4",".305","20391"
"Riley Greene","DET","418","5","1","-1.1","98",".303","73","9.3%","-0.1","4.2","108","129","112","89.5","112.1",".316","25976"
"Corey Dickerson","STL","297","6","0","-1.2","98",".303","85","3.8%","-0.4","2.0","48","71","118","87.7","112.1",".292","10762"
"Kevin Newman","PIT","309","2","8","0.7","94",".303","63","1.6%","3.0","5.4","62","69","85","85.6","108.2",".285","17696"
"Luis Gonzalez","SFG","350","4","10","-1.3","95",".302","68","2.9%","0.6","5.2","103","95","143","86.9","109.7",".268","20332"
"Cavan Biggio","TOR","303","6","2","1.0","97",".302","99","6.9%","2.2","4.9","158","126","88","87.9","107.6",".288","19252"
"Ildemaro Vargas","- - -","222","4","3","-1.5","92",".302","83","2.1%","0.5","3.9","43","46","91","87.0","109.2",".255","13324"
"Josh Donaldson","NYY","546","15","2","-6.6","97",".302","102","9.8%","-4.5","2.2","124","122","68","90.7","111.7",".299","5038"
"Aledmys Diaz","HOU","327","12","1","-5.2","96",".301","108","6.3%","-3.8","2.1","69","73","76","86.6","112.0",".308","15937"
"Christian Bethancourt","- - -","333","11","5","-0.8","101",".301","105","11.7%","-1.0","4.0","45","108","86","90.1","113.4",".318","10028"
"Keibert Ruiz","WSN","433","7","6","-5.2","90",".299","70","3.7%","-0.2","3.0","83","51","68","88.0","109.4",".328","19610"
"Max Kepler","MIN","446","9","3","-1.8","95",".298","81","7.1%","0.8","3.4","138","67","88","89.1","113.9",".338","12144"
"Jon Berti","MIA","404","4","41","4.9","93",".298","63","5.9%","8.0","7.7","124","97","113","88.0","109.1",".306","12037"
"Chris Taylor","LAD","454","10","10","-0.4","93",".298","98","10.2%","3.4","5.6","116","156","101","87.4","108.5",".277","13757"
"Jesus Sanchez","MIA","343","13","1","-4.1","93",".298","122","9.9%","-1.5","4.2","91","119","110","89.5","114.7",".298","19913"
"Marcell Ozuna","ATL","507","23","2","-9.4","89",".298","121","13.1%","-2.6","2.4","73","106","85","89.4","113.9",".337","10324"
"LaMonte Wade Jr.","SFG","251","8","1","-1.4","93",".298","98","9.5%","0.8","3.8","124","90","87","87.7","109.3",".321","18126"
"Hunter Dozier","KCR","500","12","4","-14.1","90",".298","101","7.7%","-8.4","4.2","85","113","91","88.5","110.7",".301","15117"
"A.J. Pollock","CHW","527","14","3","-6.0","92",".297","96","9.4%","-1.5","3.5","76","84","94","88.8","110.8",".317","9256"
"Michael A. Taylor","KCR","456","9","4","-4.7","90",".297","70","6.8%","0.6","4.1","96","108","105","86.3","109.4",".289","11489"
"Leody Taveras","TEX","341","5","11","-0.6","93",".297","70","4.3%","2.2","5.6","77","116","111","89.4","112.9",".270","18900"
"Reese McGuire","- - -","274","3","1","-5.1","90",".297","67","2.5%","-1.9","3.2","55","92","112","87.0","109.6",".267","15674"
"Harold Castro","DET","443","7","0","-4.8","94",".297","73","6.1%","-1.6","2.2","48","80","131","87.0","107.3",".316","14691"
"Brandon Marsh","- - -","461","11","10","-2.9","89",".296","92","7.4%","2.5","5.6","76","154","107","89.2","109.0",".287","20202"
"Adam Duvall","ATL","315","12","0","-2.2","87",".295","121","12.8%","2.7","3.2","80","142","76","88.3","110.1",".293","10950"
"Ke'Bryan Hayes","PIT","560","7","20","-6.8","88",".294","65","3.9%","0.9","5.3","103","96","131","91.0","113.0",".303","18577"
"Whit Merrifield","- - -","550","11","16","-4.6","88",".294","84","4.2%","2.6","5.2","87","70","116","87.1","107.6",".288","11281"
"Joey Bart","SFG","291","11","2","-4.8","90",".294","96","10.1%","-1.5","2.9","107","170","93","87.3","114.3",".296","21524"
"Ramon Laureano","OAK","383","13","11","1.2","96",".294","110","11.6%","3.0","4.8","82","122","105","88.7","110.2",".307","17128"
"Pavin Smith","ARI","277","9","1","-3.8","87",".294","95","9.9%","0.5","1.9","121","107","103","87.9","109.2",".304","19892"
"Brian Anderson","MIA","383","8","1","-4.5","90",".293","80","9.7%","-0.1","3.3","116","117","97","88.7","112.0",".309","18289"
"Matt Reynolds","- - -","272","3","5","-5.8","81",".293","56","3.0%","0.3","5.3","114","127","122","90.2","106.7",".272","13788"
"Jose Trevino","NYY","353","11","2","-4.9","91",".293","94","5.1%","-1.2","3.3","53","79","97","87.9","109.4",".281","16725"
"Raimel Tapia","TOR","433","7","8","-2.6","90",".293","77","5.1%","2.0","5.3","46","84","118","87.6","111.7",".286","14350"
"Aaron Hicks","NYY","453","8","10","-2.6","90",".292","65","5.8%","2.5","5.0","172","108","103","87.9","109.6",".303","5297"
"Nelson Cruz","WSN","507","10","4","-11.8","85",".292","66","9.3%","-3.1","3.0","116","104","116","90.9","113.8",".320","2434"
"Nelson Velazquez","CHC","206","6","5","-3.0","87",".291","108","13.3%","0.1","6.3","110","140","78","89.2","111.2",".305","23359"
"Darin Ruf","- - -","388","11","2","-4.7","89",".291","87","8.6%","0.2","3.4","139","120","105","89.2","112.1",".310","9929"
"Javier Baez","DET","590","17","9","-4.3","90",".291","104","8.0%","2.5","5.2","55","112","100","87.9","112.1",".285","12979"
"Jorge Alfaro","SDP","274","7","1","-3.2","90",".291","88","11.2%","0.0","2.4","48","158","111","89.4","115.2",".295","12180"
"Gary Sanchez","MIN","471","16","2","-8.3","89",".290","115","13.5%","-2.6","2.3","107","130","85","90.5","115.1",".321","11442"
"Austin Nola","SDP","397","4","2","-5.9","89",".290","50","2.4%","-0.8","2.5","102","67","94","89.4","109.1",".305","15941"
"Bryson Stott","PHI","466","10","12","-4.2","84",".289","80","4.4%","4.7","5.5","92","84","129","88.1","108.4",".284","26294"
"Brandon Crawford","SFG","458","9","1","-5.3","87",".289","73","6.7%","1.8","3.2","102","95","97","88.1","109.0",".287","5343"
"Victor Caratini","MIL","314","9","0","-8.9","84",".289","93","6.3%","-3.2","0.9","118","94","112","89.4","112.8",".309","14968"
"Joey Wendle","MIA","371","3","12","-5.6","87",".289","65","1.7%","0.0","4.5","48","60","126","87.5","107.6",".276","13853"
"Jesus Aguilar","- - -","507","16","1","-10.7","86",".288","93","6.7%","-2.8","1.5","66","104","101","87.8","108.1",".298","11342"
"Tony Kemp","OAK","558","7","11","-1.4","91",".287","66","1.6%","4.1","5.1","101","56","91","84.4","103.2",".267","14894"
"Ryan Jeffers","MIN","236","7","0","-4.7","87",".287","104","13.2%","-1.3","2.4","122","118","104","88.2","113.2",".315","24618"
"Bobby Dalbec","BOS","353","12","3","-6.3","80",".287","104","11.8%","1.7","5.0","103","150","99","90.3","113.9",".296","19966"
"Owen Miller","CLE","472","6","2","-6.8","85",".287","73","3.5%","1.0","3.6","85","89","97","85.8","109.1",".291","24655"
"Harrison Bader","- - -","313","5","17","-0.7","86",".286","69","3.4%","4.2","7.4","58","88","75","83.4","109.6",".270","18030"
"Kevin Kiermaier","TBR","221","7","6","0.7","90",".286","94","6.9%","3.2","4.9","80","124","134","87.9","109.9",".305","11038"
"Joey Gallo","- - -","410","19","3","-6.3","85",".286","130","17.6%","0.5","4.7","169","178","71","89.6","113.0",".295","14128"
"Mike Moustakas","CIN","285","7","2","-8.5","76",".286","84","6.1%","-0.5","3.3","101","116","84","87.6","111.7",".270","4892"
"Willi Castro","DET","392","8","9","-4.7","86",".285","84","3.5%","1.6","5.5","48","94","112","84.8","111.7",".290","17338"
"Isiah Kiner-Falefa","NYY","531","4","22","-7.8","85",".285","44","1.2%","1.1","5.2","83","61","117","86.2","109.8",".290","16512"
"Matt Vierling","PHI","357","6","7","-7.5","81",".285","67","5.0%","0.5","5.1","77","87","115","91.2","112.1",".327","21558"
"Alfonso Rivas","CHC","287","3","6","-3.9","83",".285","46","4.2%","2.0","5.3","121","134","127","86.9","108.0",".281","21560"
"Yuli Gurriel","HOU","584","8","8","-10.9","85",".285","79","1.9%","-0.8","3.8","65","56","119","88.2","109.6",".271","19198"
"Elias Diaz","COL","381","9","0","-18.6","67",".284","90","5.9%","-3.9","2.1","79","95","111","88.4","111.8",".274","11680"
"Cody Bellinger","LAD","550","19","14","-6.2","83",".284","115","8.3%","4.5","6.3","83","121","79","89.4","107.3",".278","15998"
"Victor Reyes","DET","336","3","2","-6.1","85",".284","72","5.0%","-0.3","3.7","49","103","113","87.9","110.9",".292","15487"
"Jarren Duran","BOS","223","3","7","-5.1","78",".284","95","7.7%","0.5","7.3","79","127","111","89.3","110.4",".282","24617"
"Robbie Grossman","- - -","477","7","6","-9.8","82",".283","67","3.5%","-0.2","3.4","145","121","81","86.7","105.8",".281","5254"
"Cesar Hernandez","WSN","617","1","10","-15.8","79",".283","45","2.4%","-0.8","5.0","87","82","125","84.8","110.8",".290","10556"
"Kyle Higashioka","NYY","248","10","0","-4.8","83",".282","108","9.8%","-0.1","1.9","61","94","62","90.9","109.1",".317","5517"
"Michael Chavis","PIT","426","14","1","-9.7","80",".282","103","7.5%","0.3","3.3","53","131","82","85.4","111.3",".261","17321"
"Ezequiel Duran","TEX","220","5","4","-4.7","82",".282","87","4.5%","-0.2","5.2","69","110","118","85.9","110.2",".256","23733"
"Luke Maile","CLE","206","3","0","-5.4","81",".281","70","5.4%","-1.1","1.3","116","118","90","84.5","106.5",".263","13355"
"Jorge Mateo","BAL","533","13","35","-5.1","82",".281","106","5.9%","5.8","8.4","64","124","112","86.8","111.3",".272","17273"
"Calvin Mitchell","PIT","232","5","3","-4.6","79",".281","79","4.9%","1.1","3.1","93","99","93","89.9","107.3",".292","22169"
"Jordan Luplow","ARI","234","11","5","-5.8","78",".281","120","7.5%","0.3","4.1","128","113","84","87.2","108.8",".288","16424"
"Chad Pinder","OAK","379","12","2","-6.0","86",".281","100","6.5%","-0.2","2.9","46","140","97","87.5","109.8",".280","15191"
"Trent Grisham","SDP","524","17","7","-4.6","83",".280","102","8.1%","5.8","4.9","130","127","101","88.3","111.1",".295","18564"
"Enrique Hernandez","BOS","402","6","0","-12.0","75",".280","78","5.8%","-0.7","2.4","106","79","86","87.8","112.3",".296","10472"
"Franmil Reyes","- - -","473","14","2","-13.6","80",".280","95","11.3%","-2.7","3.2","78","149","111","92.0","112.4",".275","14566"
"Gilberto Celestino","MIN","347","2","4","-11.7","82",".280","43","2.5%","-4.6","3.8","116","100","149","87.3","107.6",".270","20233"
"Francisco Mejia","TBR","299","6","0","-7.3","85",".279","93","2.7%","-2.4","1.8","29","98","84","86.8","108.5",".262","16403"
"Matt Duffy","LAA","247","2","0","-7.8","78",".279","41","2.8%","-1.8","0.6","86","91","143","87.1","105.8",".280","13836"
"Albert Almora Jr.","CIN","235","5","3","-10.9","71",".279","81","1.8%","-3.0","4.4","87","87","78","84.0","108.6",".270","14109"
"Rougned Odor","BAL","472","13","6","-9.3","80",".278","101","6.5%","1.4","5.1","85","104","79","87.8","109.7",".277","12282"
"Jared Walsh","LAA","454","15","2","-12.2","78",".278","106","9.5%","-0.7","3.2","75","137","91","90.1","112.1",".280","18607"
"Jose Azocar","SDP","216","0","5","-6.3","81",".278","48","2.5%","-1.6","5.9","66","90","145","88.3","108.2",".272","18821"
"Jo Adell","LAA","285","8","4","-6.5","77",".278","100","9.8%","0.8","4.7","48","169","88","87.4","112.2",".251","20220"
"Frank Schwindel","CHC","292","8","0","-10.0","78",".278","83","4.7%","-2.5","0.8","78","88","93","88.1","109.3",".278","15351"
"Jeimer Candelario","DET","467","13","0","-13.2","80",".277","97","8.3%","-2.7","2.8","75","105","102","87.2","111.3",".292","13621"
"Miguel Cabrera","DET","433","5","1","-15.8","79",".275","42","4.7%","-5.4","1.3","81","105","113","89.9","111.0",".275","1744"
"Andrew Knizner","STL","293","4","0","-9.0","79",".275","55","3.5%","-1.8","1.7","106","94","106","86.0","110.2",".280","19514"
"David Fletcher","LAA","228","2","1","-7.9","75",".275","53","0.0%","-1.5","3.4","39","32","134","82.1","99.0",".295","17992"
"Yoan Moncada","CHW","433","12","2","-10.2","76",".275","94","9.8%","1.3","3.1","93","118","102","88.7","111.5",".289","17232"
"Carson Kelly","ARI","354","7","2","-11.4","73",".275","79","5.2%","-0.4","3.4","98","89","89","87.7","109.4",".288","13620"
"Adam Frazier","SEA","602","3","11","-13.1","81",".274","48","1.5%","-0.2","4.9","96","55","110","85.1","105.1",".297","15223"
"Diego Castillo","PIT","283","11","1","-9.2","73",".272","113","9.9%","-0.4","2.3","59","117","87","89.1","109.6",".292","19906"
"Spencer Torkelson","DET","404","8","0","-14.0","76",".272","78","8.4%","-3.2","2.4","115","110","104","90.5","111.5",".305","27465"
"Alek Thomas","ARI","411","8","4","-11.8","71",".272","73","3.8%","1.8","3.7","64","80","117","87.4","111.3",".277","23792"
"Nick Senzel","CIN","420","5","8","-17.5","66",".272","48","3.2%","-0.9","3.7","85","80","95","87.2","109.5",".299","19293"
"Yan Gomes","CHC","293","8","2","-11.2","73",".271","84","3.4%","-2.0","2.7","33","71","86","85.3","107.5",".287","9627"
"Omar Narvaez","MIL","296","4","0","-10.2","71",".269","64","2.4%","-0.3","1.6","117","85","110","84.7","106.4",".268","13338"
"Sergio Alcantara","- - -","224","6","1","-7.8","70",".269","88","1.9%","-0.1","3.8","64","113","121","86.6","104.1",".244","16417"
"Jose Siri","- - -","325","7","14","-3.4","75",".268","85","6.2%","5.6","7.8","77","150","100","87.2","112.0",".261","17452"
"Miguel Rojas","MIA","507","6","9","-19.9","73",".268","56","1.9%","-4.0","3.9","61","53","128","86.1","109.1",".293","7802"
"Vimael Machin","OAK","253","1","1","-7.7","77",".268","45","3.9%","-1.2","2.4","124","84","126","89.3","108.5",".301","17684"
"Nick Madrigal","CHC","228","0","3","-8.2","70",".267","22","0.0%","-0.4","3.2","73","52","119","85.9","106.5",".283","20521"
"CJ Abrams","- - -","302","2","7","-8.5","71",".267","50","2.1%","1.7","5.8","20","73","106","86.5","109.6",".266","25768"
"Garrett Hampson","COL","226","2","12","-10.3","55",".267","62","4.3%","1.6","8.5","111","123","107","86.5","107.0",".261","19262"
"Aristides Aquino","CIN","276","10","2","-10.4","63",".267","107","8.2%","1.6","2.1","74","162","87","85.6","113.6",".243","15482"
"J.J. Bleday","MIA","238","5","4","-7.1","72",".266","92","8.6%","0.8","5.3","151","124","76","86.3","107.9",".280","26368"
"Jacob Stallings","MIA","384","4","0","-18.2","71",".265","45","3.4%","-5.3","1.0","90","96","131","86.7","109.5",".274","13723"
"Kyle Isbel","KCR","278","5","9","-11.1","67",".265","86","4.9%","-0.8","7.3","72","121","86","89.7","111.2",".266","21614"
"Tomas Nido","NYM","313","3","0","-16.3","74",".265","55","6.3%","-7.0","1.7","54","107","115","86.4","107.4",".287","13755"
"Martin Maldonado","HOU","379","15","0","-16.6","70",".264","111","8.1%","-3.9","1.7","73","138","98","88.4","109.2",".253","6887"
"Yasmani Grandal","CHW","376","5","1","-19.7","68",".263","45","4.8%","-6.2","1.0","150","95","124","90.0","110.2",".290","11368"
"Brad Miller","TEX","241","7","4","-9.6","69",".263","72","7.8%","-1.1","2.9","94","131","129","91.1","110.7",".269","12775"
"Brian Serven","COL","205","6","0","-12.3","52",".263","83","2.7%","-0.9","2.3","76","95","89","84.5","105.8",".254","19422"
"Cooper Hummel","ARI","201","3","4","-8.1","65",".262","84","7.1%","0.1","6.6","137","141","79","87.6","110.9",".292","19458"
"Josh Smith","TEX","253","2","4","-8.9","68",".262","35","2.4%","0.3","3.1","139","89","101","87.0","105.4",".296","26396"
"Maikel Franco","WSN","388","9","1","-19.8","64",".261","73","4.7%","-3.6","2.0","37","85","87","87.0","112.1",".272","12179"
"Kole Calhoun","TEX","424","12","3","-16.7","67",".260","90","9.8%","-0.8","3.3","80","144","73","90.8","109.9",".294","11200"
"Victor Robles","WSN","407","6","15","-14.3","64",".260","56","3.2%","2.8","6.1","50","113","106","84.6","109.7",".244","18363"
"Avisail Garcia","MIA","380","8","4","-16.1","66",".258","60","6.4%","-1.2","3.3","54","127","102","88.7","116.8",".281","5760"
"Eddie Rosario","ATL","270","5","3","-10.8","62",".258","75","5.4%","1.3","4.6","75","111","70","87.7","107.3",".250","12155"
"Max Stassi","LAA","375","9","0","-18.1","63",".258","82","9.4%","-2.7","1.9","127","134","96","88.6","107.5",".266","10059"
"Myles Straw","CLE","596","0","21","-16.4","64",".257","35","0.7%","7.6","6.5","114","66","146","87.0","104.8",".275","17620"
"Marwin Gonzalez","NYY","207","6","3","-9.2","65",".257","91","5.9%","-1.1","4.2","85","117","102","88.0","107.0",".282","5497"
"Akil Baddoo","DET","225","2","9","-6.6","65",".256","43","3.6%","2.2","6.6","134","128","135","85.0","108.5",".253","22168"
"Adam Engel","CHW","260","2","12","-8.6","63",".256","57","1.8%","2.1","6.8","53","132","110","87.9","111.2",".246","15082"
"Sheldon Neuse","OAK","293","4","6","-9.6","67",".253","49","3.1%","1.3","5.4","86","123","135","89.1","108.3",".254","19635"
"Tucker Barnhart","DET","308","1","0","-14.6","63",".253","31","1.9%","-1.7","0.6","102","108","116","84.5","105.2",".244","10200"
"Geraldo Perdomo","ARI","500","5","9","-18.7","59",".253","43","2.0%","5.4","5.5","120","91","97","85.0","104.7",".269","22799"
"Taylor Walls","TBR","466","8","10","-14.5","66",".252","76","6.2%","3.2","5.5","140","116","119","86.3","105.7",".270","22458"
"Jackie Bradley Jr.","- - -","370","4","2","-18.9","56",".252","72","4.8%","-0.7","2.7","81","94","92","87.6","107.6",".268","12984"
"Didi Gregorius","PHI","232","1","1","-9.3","58",".251","60","2.8%","2.1","5.1","67","69","95","84.5","106.5",".275","6012"
"Robinson Chirinos","BAL","220","4","1","-10.9","61",".251","72","6.9%","-1.2","1.6","108","137","59","84.8","107.6",".245","3142"
"Sam Hilliard","COL","200","2","5","-11.2","44",".251","52","9.2%","1.8","6.3","138","126","85","92.0","115.1",".303","17954"
"Nicky Lopez","KCR","480","0","13","-18.2","57",".251","31","1.6%","5.2","6.3","76","59","130","84.9","106.7",".273","19339"
"Jonathan Villar","- - -","220","3","7","-8.4","58",".250","61","2.7%","2.2","7.3","83","119","100","89.6","109.5",".247","10071"
"Mauricio Dubon","- - -","265","5","2","-13.2","59",".248","65","2.3%","-0.8","3.3","61","51","91","84.7","107.6",".272","16530"
"Abraham Toro","SEA","352","10","2","-16.3","62",".246","93","6.8%","-1.1","4.1","79","83","78","87.0","108.2",".284","19844"
"Jonathan Schoop","DET","510","11","5","-24.5","58",".245","81","4.8%","-0.2","4.4","47","94","82","87.0","111.6",".268","11265"
"Nick Allen","OAK","326","4","3","-13.8","61",".245","56","1.2%","0.5","3.2","73","88","147","83.9","104.6",".238","22277"
"Paul DeJong","STL","237","6","3","-13.0","55",".241","83","9.8%","-0.7","3.0","106","147","125","87.6","110.3",".267","18015"
"Andrew Velazquez","LAA","349","9","17","-15.1","50",".239","73","6.6%","4.6","6.1","54","153","103","88.0","109.1",".246","14196"
"Yadier Molina","STL","270","5","2","-19.7","51",".235","57","3.1%","-4.4","2.9","22","66","97","84.7","107.8",".254","7007"
"Austin Hedges","CLE","338","7","2","-25.8","42",".225","57","3.1%","-3.6","2.9","93","104","86","84.2","107.1",".240","12976"
"Leury Garcia","CHW","315","3","2","-19.5","39",".221","38","4.2%","2.2","4.3","28","93","106","87.0","109.2",".258","5913"
"Brett Phillips","- - -","225","5","7","-11.9","38",".213","70","4.5%","3.8","5.9","89","188","83","88.5","107.8",".220","14735"
"Cristian Pache","OAK","260","3","2","-20.8","35",".207","50","3.4%","-1.7","4.1","72","121","72","89.4","108.6",".259","19948"
